,fire_index,fire_size,fire_cause,latitude,longitude,discovery_month,putout_time,Temp_pre_15,Wind_pre_15,Hum_pre_15,Prec_pre_15,year
0,3,1.0,Debris Burning,39.6414,-119.3083,Jun,0,18.99618138,3.398329356,37.14081146,7.2,2005
1,24,40.0,Arson,31.43518075,-88.99948898,Apr,0,15.06722689,1.7379213480000002,56.74719101,0.0,1999
2,26,2.0,Debris Burning,35.7189,-92.335,Jan,0,0.0,0.0,0.0,0.0,2014
3,31,1.2,Debris Burning,48.833,-99.7836,Apr,0,0.372659176,6.012851782,75.96398104,21.2,2007
4,35,30.18,Debris Burning,31.259,-84.8956,Oct,0,17.72271386,3.366442953,61.7337884,0.0,2000
5,36,1420.0,Lightning,33.2418,-104.9122,Jul,1,32.5234375,3.844921875,25.7890625,0.0,1994
6,48,55.0,Debris Burning,37.46458863,-81.49122444,Apr,0,12.492723,3.882897862,49.52731591,11.7,2014
7,54,3.2,Utilities,43.85158,-108.19147,Jul,0,23.7672043,2.737837838,37.38648649,2.8,2010
8,56,15.3,Utilities,36.5865,-96.32322,Dec,1,5.933657587999999,3.311328125,80.17729084,104.8,2015
9,57,270.0,Arson,35.47333333,-84.45,Oct,1,11.63909465,1.750730689,70.18932039,14.4,1999
10,59,57.0,Arson,36.81666667,-82.65166667,Apr,2,8.231321839,3.3071839080000003,53.92330383,0.0,1995
11,64,1.5,Lightning,39.205,-105.18833329999998,Jul,1,0.0,0.0,0.0,0.0,1996
12,75,3.2,Utilities,45.0422716,-89.03498935,Apr,0,2.4625,7.3,79.75,0.0,1995
13,78,450.0,Utilities,34.33,-117.5130556,Jul,1,28.16509695,2.664542936,42.9833795,0.0,2006
14,84,108.0,Lightning,63.8517,-150.3543,Jul,26,0.0,0.0,0.0,0.0,1997
15,86,13.65,Debris Burning,32.28853889,-82.40083333,Mar,0,10.70697674,2.365860465,71.45977011,0.0,2014
16,87,0.7,Accidental,34.9,-111.4333333,Jul,9,18.58,3.68,58.0,0.0,1992
17,94,1.0,Debris Burning,35.06351,-93.35006,Oct,0,18.10641975,1.660246914,66.16243655,31.6,2011
18,95,4.0,Debris Burning,32.25136667,-82.91357222,Jan,0,8.484572491,1.7823420069999998,60.89057751,0.0,2015
19,97,9.94,Debris Burning,32.78947346,-84.84721729,Feb,0,11.39900498,2.445273632,60.87531172,8.1,2011
20,98,26.0,Accidental,45.76867435,-116.3321016,Aug,0,21.20505618,0.538764045,57.84269663,0.0,2012
21,102,10.66,Utilities,32.4929,-84.1167,Apr,0,14.95166667,3.794722222,66.33798883,344.4,1993
22,111,3.4,Arson,34.9102,-85.4287,Mar,0,9.725373134,3.456465517,65.30751174,196.5,2001
23,114,2.0,Utilities,47.41333333,-94.49,Mar,0,-4.907284768,4.442715232,68.84333333,0.0,1998
24,119,2.0,Accidental,37.1575,-107.0202778,Sep,3,7.032212885,4.633613445,37.54297994,0.0,2008
25,123,3.0,Lightning,36.0602,-118.0965,Jul,2,35.44444444,4.325,0.0,0.0,2003
26,124,1.0,Arson,34.8839,-98.2039,Aug,0,34.19567568,4.2013513510000005,37.63513514,0.0,2011
27,125,1.5,Arson,31.4636,-81.3551,Jul,0,29.04465409,3.630128205,67.66013072,65.0,1996
28,126,15.0,Arson,34.80025167,-89.65493016,May,0,18.23555556,4.309444444,62.5,57.5,1996
29,127,4.0,Lightning,45.63666667,-106.0383333,Jun,1,0.0,0.0,0.0,0.0,1994
30,130,78.0,Arson,36.78186,-96.004014,Dec,0,0.3441340779999999,2.018249534,80.88157895,14.8,2013
31,131,3.0,Arson,33.2892,-110.4575,May,0,26.35081967,4.290163934,17.05737705,0.6,2006
32,139,1.0,Accidental,35.0623,-108.8434,May,0,0.0,0.0,0.0,0.0,1997
33,142,1.0,Lightning,33.9848,-110.0857,Jul,0,26.79,4.841,21.71,2.0,1997
34,146,1.0,Debris Burning,46.1144,-100.6923,Apr,0,-0.153203343,4.10027933,70.22126437,2.3,2001
35,148,3.0,Debris Burning,34.301426,-79.426903,Mar,0,10.21448468,2.811420613,68.19847328,0.0,2014
36,157,9.1,Accidental,29.1325,-81.62,May,0,25.38432836,2.619662921,74.23092170000001,0.0,2015
37,165,17.9,Accidental,48.0443,-118.3853,May,0,14.43589744,3.0521739130000003,49.91304348,17.5,2001
38,170,4.0,Arson,33.310308,-87.777564,Apr,0,17.43949045,3.234819533,70.84288747,40.5,2008
39,173,40.0,Utilities,41.533,-96.0333,Aug,0,0.0,0.0,0.0,0.0,2002
40,175,1.74,Utilities,42.82194189,-73.35379719,Apr,0,9.298050139,2.304178273,49.27323944,7.1,2005
41,187,1.5,Lightning,33.7319444,-109.026667,Jul,3,24.79572193,3.532352941,33.35294118,0.8,2010
42,192,1.0,Lightning,40.22861111,-120.6713889,Jun,1,13.26522327,1.4974289580000002,60.52248062,2.5,2006
43,193,10.0,Arson,32.51734167,-83.2437,Dec,0,12.44159544,1.915194682,76.58732612,0.0,2013
44,197,3.06,Accidental,33.71,-84.2811,Mar,0,9.448476454,4.0457063710000005,55.69971671,64.0,1994
45,199,2.0,Debris Burning,42.9758,-108.9493,Mar,0,1.062383178,3.0901869160000004,50.18501171,1.5,2006
46,204,1.0,Utilities,42.68452,-97.4667,Apr,0,10.69877243,5.712747875,52.39376771,14.8,2015
47,206,1.03,Debris Burning,32.0471,-83.6526,Jun,0,24.28544153,2.167064439,76.92328042,10.2,1996
48,217,2.0,Arson,33.483334,-79.349998,Nov,0,15.49544073,1.732016211,64.49133858,0.0,2012
49,220,0.8,Debris Burning,32.45075,-82.61933333,Dec,0,11.6038961,1.474489796,72.87644342,0.0,2014
50,221,2.4,Arson,41.85472222,-77.70888889,Apr,0,7.632047478,5.031750742,60.76595745,11.3,2003
51,222,5.0,Accidental,31.55336502,-90.38181672,Nov,0,8.625231911,2.612801484,66.46703911,0.0,2014
52,227,46.4,Arson,37.73305556,-91.075,Mar,0,7.051948052,3.796750232,54.50473485,22.4,2012
53,230,1.0,Arson,30.3595,-84.8169,Jun,0,26.84,2.045196507,73.86681223,139.6,2015
54,232,76.0,Lightning,27.0042,-80.3196,Jul,0,25.90976331,1.96735905,80.0044843,0.0,2015
55,236,510.0,Lightning,47.95055556,-115.6347222,Aug,18,27.51515152,2.2953125,0.0,0.0,2000
56,237,30.0,Utilities,34.197,-103.532,Mar,0,13.30769231,6.128205127999999,23.03846154,0.0,2011
57,241,1.0,Debris Burning,36.0107,-80.650283,Jan,0,0.0,0.0,0.0,0.0,2015
58,251,15.0,Arson,30.54395234,-88.4540867,Feb,0,13.40283976,3.50811359,72.42241379,7.9,1999
59,261,5.0,Arson,35.34527778,-82.63527778,May,1,15.95551257,1.503288201,69.49512671,0.0,2006
60,262,15.0,Debris Burning,34.8834,-109.034,Mar,0,0.0,0.0,0.0,0.0,1996
61,266,3.0,Accidental,43.255,-100.8376,May,0,6.94375,5.775,63.8175,65.0,2002
62,276,1.0,Arson,31.359876,-89.39684914,Feb,0,10.01708683,2.203361345,57.41456583,0.0,1993
63,277,1.8,Lightning,45.28217824,-88.82622296,Aug,0,18.05,2.75,32.0,0.0,1994
64,280,3.6,Debris Burning,32.1151,-81.7517,Feb,0,-10.89263804,4.533128833999999,77.70129870000001,0.0,1996
65,284,30.0,Debris Burning,34.11264952,-88.55461438,Oct,0,19.04748603,2.819830028,70.38810198,37.6,1999
66,286,5.2,Lightning,33.7556,-109.6509,Jun,3,18.67226891,4.902987862,35.72523364,0.0,2005
67,290,3.0,Lightning,39.4555,-109.9757,Aug,0,24.46341463,2.263414634,49.12195122,0.0,1996
68,291,29.0,Arson,31.0201,-82.23888889,Apr,16,0.0,0.0,0.0,0.0,2006
69,297,1.0,Lightning,39.28266823,-80.58605765,Apr,0,9.959183673,3.337142857,44.45918367,0.0,1995
70,298,20.0,Arson,33.559897,-86.926153,Feb,0,3.888032407,0.0,0.0,0.0,2007
71,313,1.0,Utilities,46.1525,-100.6915,May,0,6.695475113,5.626244344,51.63122172,9.2,2005
72,315,85.0,Arson,34.82717,-95.255,Feb,0,7.628813559,3.85631068,62.93446602,17.5,2015
73,318,9.0,Accidental,37.7073881,-81.73046153,May,0,15.70593407,4.000441501,56.73951435,30.3,2014
