,fire_name,fire_size,fire_cause,latitude,longitude,state,discovery_month,putout_time,Vegetation,Temp_pre_30,Wind_pre_30,Hum_pre_30,Prec_pre_30,remoteness,year
3,WNA  1,1.0,Debris Burning,39.6414,-119.3083,NV,Jun,0,0,16.27596717,4.054982415,44.77842907,10.4,0.4874474548506364,2005
9,CRAZY,1.0,Other,48.8394,-99.7185,ND,Apr,0,15,4.600950119,6.380760095,64.60650888,12.3,0.2916826266795891,2004
26,STO3573155,2.0,Debris Burning,35.7189,-92.335,AR,Jan,0,15,3.490697674,1.34744186,76.09139785,0.0,0.2272697343448786,2014
31,AXE RONDEAU,1.2,Debris Burning,48.833,-99.7836,ND,Apr,0,15,-0.8916349809999999,5.800666667000001,77.57501206,21.2,0.2923027163909939,2007
35,FY2001-EARLY-021,30.18,Debris Burning,31.259,-84.8956,GA,Oct,0,12,20.07947977,3.65984,67.55178268,0.0,0.1624159398172477,2000
36,LUCKY,1420.0,Lightning,33.2418,-104.9122,NM,Jul,1,16,31.05585937,4.026367187,28.78320313,2.5,0.3479907070469388,1994
48,LAUREL BRANCH,55.0,Debris Burning,37.46458863,-81.49122444,WV,Apr,0,0,8.9048,4.18489426,56.23867069,54.5,0.127991882782634,2014
54,AGERT,3.2,Utilities,43.85158,-108.19147,WY,Jul,0,9,22.72938005,3.148513514,37.25675676,3.1,0.3746517113312526,2010
56,LED BETTER BARN,15.3,Utilities,36.5865,-96.32322,OK,Dec,1,0,8.523263157999999,3.278095238,76.61521739,150.8,0.2639427624719013,2015
57,CALDERWOOD,270.0,Arson,35.47333333,-84.45,TN,Oct,1,15,14.40471888,1.976602238,73.77567887,145.8,0.1555431553430117,1999
59,DEVIL'S,57.0,Arson,36.81666667,-82.65166667,VA,Apr,2,0,8.864242424,3.135151515,52.83489097,0.0,0.1386698681295559,1995
64,SPRING GULCH,1.5,Lightning,39.205,-105.18833329999998,CO,Jul,1,0,0.0,0.0,0.0,0.0,0.347202748581888,1996
78,RAMP,450.0,Utilities,34.33,-117.5130556,CA,Jul,1,16,27.85048276,2.58,44.7062069,0.0,0.47215020307743,2006
83,TELEPHONE CANYON,18.0,Other,41.51085,-109.50637,WY,Jun,3,15,13.19906542,5.271161549,33.59279039,1.8,0.3884084306904412,2012
84,LIL CARIBO,108.0,Lightning,63.8517,-150.3543,AK,Jul,26,0,0.0,0.0,0.0,0.0,0.8197266531954936,1997
86,FY2014-TOOMBS-030,13.65,Debris Burning,32.28853889,-82.40083333,GA,Mar,0,12,10.97154851,2.438199627,70.45740836,0.0,0.1393298173350989,2014
89,SWEETBAY 1,1.0,Other,25.334719,-80.80555600000001,FL,Apr,0,12,21.40113154,5.189533239,70.96676301,0.0,0.131003293445296,1992
91,RL278,20.0,Other,47.8666,-94.9169,MN,Apr,0,15,-0.139007092,4.160795455,61.94460227,21.0,0.2465745578827336,2000
95,FY2015-LAURENS-107,4.0,Debris Burning,32.25136667,-82.91357222,GA,Jan,0,12,8.147935035,1.737633411,60.78588808,0.0,0.1439278422115411,2015
97,FY2011-HARRIS-024,9.94,Debris Burning,32.78947346,-84.84721729,GA,Feb,0,12,9.430668127,2.727601314,68.88056206,96.5,0.1608674518866872,2011
98,HAMMER CREEK,26.0,Accidental,45.76867435,-116.3321016,ID,Aug,0,15,21.5948324,0.564106145,58.11033520000001,0.0,0.4550891494307116,2012
111,FY2001-DADE-041,3.4,Arson,34.9102,-85.4287,GA,Mar,0,16,9.76573499,3.2640625,66.86682243,305.5,0.1646940623147792,2001
114,WABANA POWERLINE,2.0,Utilities,47.41333333,-94.49,MN,Mar,0,15,-2.428571429,3.833282675,74.28658537,0.0,0.2426723339716054,1998
115,FY2012-COWETA-020,5.2,Other,33.42630321,-84.92522609999999,GA,Apr,0,16,0.0,0.0,0.0,0.0,0.1611297655602113,2012
119,EIGHT MILE,2.0,Accidental,37.1575,-107.0202778,CO,Sep,3,0,8.664914586,4.722141918999999,40.75965379,0.0,0.3660826818678131,2008
121,OLD ELK,1.0,Other,45.5639,-107.4868,MT,Oct,0,15,14.04709141,2.866445183,57.01502504,23.0,0.36726205791625,1995
123,BALL,3.0,Lightning,36.0602,-118.0965,CA,Jul,2,0,33.90123457,4.684710744,0.0,0.0,0.4769991839981995,2003
124,WHITFIELD RD.,1.0,Arson,34.8839,-98.2039,OK,Aug,0,16,33.97345013,3.947843666,37.33962264,0.8,0.2826857602442385,2011
130,NICHOLS,78.0,Arson,36.78186,-96.004014,OK,Dec,0,0,0.269237833,2.04214876,77.41107185,18.9,0.260836229987279,2013
131,MULTIPLE,3.0,Arson,33.2892,-110.4575,AZ,May,0,16,24.38005502,4.2039889960000005,16.61019284,1.1,0.4022346600857496,2006
133,FY2000-STEWART-045,1.23,Other,32.0988,-84.7623,GA,Mar,0,12,14.88989784,2.976027397,66.19035847,114.7,0.1605963665451146,2000
139,LASILOO,1.0,Accidental,35.0623,-108.8434,NM,May,0,15,0.0,0.0,0.0,0.0,0.3851686196017032,1997
142,LAKERIDGE1,1.0,Lightning,33.9848,-110.0857,AZ,Jul,0,16,26.63636364,4.91010101,19.66161616,2.0,0.3980950892780281,1997
146,AGARD,1.0,Debris Burning,46.1144,-100.6923,ND,Apr,0,9,-1.333333333,3.925558659,76.08645533,2.6,0.301474802346217,2001
154,LINDEN - 411,1.0,Other,33.58500167,-95.08555556,TX,Aug,0,16,32.62925012,1.862785282,46.36376339,0.0,0.2542088211236235,2011
157,BUCK LAKE,9.1,Accidental,29.1325,-81.62,FL,May,0,12,23.9530451,2.731174278,72.50804829,0.0,0.1348264311774838,2015
165,HOLZERS,17.9,Accidental,48.0443,-118.3853,WA,May,0,15,12.35106383,2.196153846,57.91025641,25.1,0.4754027581898195,2001
173,WLDFR-BOYE,40.0,Utilities,41.533,-96.0333,NE,Aug,0,15,0.0,0.0,0.0,0.0,0.2588358689611001,2002
187,FRIEBORN,1.5,Lightning,33.7319444,-109.026667,NM,Jul,3,16,24.02811671,3.772413793,28.45949535,0.8,0.3878281738083908,2010
192,LONESOME,1.0,Lightning,40.22861111,-120.6713889,CA,Jun,1,14,11.74899058,1.548317631,61.60083682,2.5,0.5011084791821621,2006
193,FY2014-BLECKLEY-006,10.0,Arson,32.51734167,-83.2437,GA,Dec,0,12,11.56821378,2.082512893,70.15806662,0.0,0.1466857763978688,2013
199,CROOKED RD,2.0,Debris Burning,42.9758,-108.9493,WY,Mar,0,4,-4.752636719,2.566113281,58.96285435,31.5,0.3823820474380426,2006
219,FY2012-FULTON SOUTH-002,6.0,Other,33.55983163,-84.47725968,GA,Nov,0,16,14.91270023,2.241990847,70.96440873,34.8,0.1570137205854405,2011
220,FY2015-TREUTLEN-022,0.8,Debris Burning,32.45075,-82.61933333,GA,Dec,0,12,11.23170732,1.898634146,71.51806491,0.0,0.141160670333434,2014
222,8.52014E+12,5.0,Accidental,31.55336502,-90.38181672,MS,Nov,0,12,11.3474026,2.223886827,66.80668127,0.0,0.2120601734587761,2014
225,LEYBA,1.0,Other,35.5773,-106.3884,NM,Jan,0,15,-1.181147541,4.26147541,51.14285714,0.0,0.3608299295520969,1996
227,INDIAN CREEK,46.4,Arson,37.73305556,-91.075,MO,Mar,0,0,4.907527881,3.316968852,64.06889952,46.2,0.2145037092842483,2012
230,BURLINGTON ROAD (39),1.0,Arson,30.3595,-84.8169,FL,Jun,0,12,26.41514523,2.52195122,72.25556734,220.2,0.1624007292139953,2015
232,WEST HUNGRYLAND (43),76.0,Lightning,27.0042,-80.3196,FL,Jul,0,12,25.88221884,2.158599696,79.37366003,0.0,0.1251510307054246,2015
236,GREEN MOUNTAIN,510.0,Lightning,47.95055556,-115.6347222,MT,Aug,18,15,25.93277311,2.486324786,0.0,0.0,0.4476025693539021,2000
237,LUCKY2,30.0,Utilities,34.197,-103.532,NM,Mar,0,16,11.2238806,5.811940299,28.17910448,0.0,0.3340096913726771,2011
241,1448 LIBERTY CHURCH RD.,1.0,Debris Burning,36.0107,-80.650283,NC,Jan,0,0,5.867725919,1.526017875,78.76666667,39.7,0.1213598340723935,2015
261,BANNING LANE,5.0,Arson,35.34527778,-82.63527778,NC,May,1,15,16.81509795,1.394457716,66.23065550000001,0.0,0.1393861218551078,2006
262,YATSATTIE,15.0,Debris Burning,34.8834,-109.034,NM,Mar,0,16,0.0,0.0,0.0,0.0,0.3871542684643707,1996
266,MARSHMELLO,3.0,Accidental,43.255,-100.8376,SD,May,0,9,8.912280702,6.020350877,61.40078844,68.1,0.3036802720230633,2002
269,212DAYSCHL,168.3,Other,45.0917,-100.4587,SD,Apr,0,9,4.304545455,5.13030303,59.93181818,0.0,0.2995062100566414,1992
274,VALLEY 2,1.3,Other,33.50411,-116.3795,CA,Oct,5,16,18.60167785,1.93557047,58.16484848,0.0,0.4612355740522211,2013
286,LONG  CYN.,5.2,Lightning,33.7556,-109.6509,AZ,Jun,3,16,16.59636872,4.586219739,35.27061015,0.0,0.3939582478635892,2005
290,BLUEBELLSP,3.0,Lightning,39.4555,-109.9757,UT,Aug,0,0,26.37894737,2.076842105,41.35789474,0.0,0.3939250170951713,1996
291,COWHOUSE ISLAND 1,29.0,Arson,31.0201,-82.23888889,GA,Apr,16,12,0.0,0.0,0.0,0.0,0.1388270409937599,2006
297,ELIZABETH STREET,1.0,Lightning,39.28266823,-80.58605765,WV,Apr,0,0,10.8684435,3.11684435,43.23409669,0.0,0.1190527112701793,1995
308,FREEWAY 2,8.0,Other,39.951177,-122.200397,CA,May,0,0,18.33741393,3.448578017,47.31500393,0.0,0.5169308264175019,2014
312,WENDY,3.0,Other,35.92829376,-119.3128859,CA,Jun,0,15,21.85877318,2.695577746,37.90442225,0.0,0.4894498767334381,1999
313,CREW CAB,1.0,Utilities,46.1525,-100.6915,ND,May,0,9,8.762987737000001,5.76477146,54.86241611,51.8,0.3014581870491482,2005
318,ELK TRACE,9.0,Accidental,37.7073881,-81.73046153,WV,May,0,0,13.88100559,3.958108108,54.1463964,53.2,0.1299865007721712,2014
319,FY2002-FLOYD-087,9.77,Debris Burning,34.4816,-85.1115,GA,Apr,0,16,0.0,0.0,0.0,0.0,0.1621090790503823,2002
323,FIGHTER,4.5,Arson,48.8525,-99.685,ND,Oct,0,15,12.73972868,4.985645005,68.63189569,29.5,0.291362207306082,2006
338,HONDO,2.0,Lightning,35.6845,-106.5517,NM,Jul,1,15,20.5,4.866666667,37.66666667,0.0,0.3623568554325755,2001
344,LEFT HAND,2.0,Lightning,33.77555556,-108.8855556,NM,Nov,0,16,9.757039187,3.025726744,41.74563953,15.2,0.3864116504135366,2013
357,UPS FIRE,1.0,Debris Burning,35.6995,-80.25333333,NC,Apr,0,15,12.57722008,1.3764478759999998,58.98604911,0.0,0.1180362007557749,2010
361,FY2016-HOUSTON-003,4.89,Debris Burning,32.37227778,-83.84344444,GA,Aug,0,12,27.90471254,2.425754717,72.58578680000001,19.3,0.1521547062121024,2015
368,1603 17 MILE FIRE,4.2,Debris Burning,42.9808,-108.4483,WY,Apr,0,4,8.291103604,4.492298981,38.23216308,17.4,0.3774589159374497,2012
377,SENECA FIRE,2.2,Debris Burning,38.86861111,-79.36194444,WV,Apr,2,0,7.713532513,1.335383714,61.81389870000001,0.0,0.1084531228262617,2009
382,SHEEP PASTURE ROAD FIRE,2.0,Debris Burning,35.12,-77.83833333,NC,Apr,0,15,15.527390900000002,1.801021356,58.45755473,0.0,0.0971625642740896,2010
384,TOWN HILL,1.0,Debris Burning,37.10551834,-82.8234024,KY,Dec,0,0,3.244621141,3.205004677,68.46410442,0.0,0.1400410206112583,2013
385,9N CORN,470.0,Utilities,42.2017,-96.5558,NE,Mar,0,9,2.12681669,3.797515237,78.82154341,5.6,0.2634855151153379,2010
389,FY2014-WALKER-051,8.71,Accidental,34.67888889,-85.30972222,GA,Apr,0,16,10.11024436,2.187511826,69.61987041,238.0,0.1637680142564319,2014
396,SHAWN,4.9,Debris Burning,48.8655,-99.8528,ND,Apr,0,15,5.941639648,5.103942486,58.85946197,47.3,0.2929564751840856,2010
401,SQUAWCREEK,32.4,Lightning,41.2352,-116.7362,NV,Jul,1,15,29.24183007,4.374,17.06,0.0,0.4606533913802617,2001
407,10316,15.0,Lightning,34.41000001,-95.91016668,OK,Jun,0,16,24.66878669,2.154397233,72.68441273,0.0,0.2613862463907999,2009
419,ROLLF,1.0,Arson,39.936181,-122.09345,CA,Aug,0,0,0.0,0.0,0.0,0.0,0.5158369078627127,2004
421,FLAT TOP,1.0,Arson,35.7239,-94.5942,OK,Nov,0,15,9.762695776,2.62586616,62.41984334,0.0,0.2482595837950465,2008
424,GABLE FIRE,656.0,Utilities,34.8,-102.24,TX,Jul,0,16,28.4452182,5.2136026,33.30536131,0.0,0.3211932712657261,2011
439,COON CREEK FIRE,15.0,Debris Burning,37.10174179,-83.29543304,KY,Apr,1,0,4.742282507,2.078890456,67.29130435,0.0,0.1442580853792219,2013
441,OAK,3.0,Utilities,38.886764,-123.16392,CA,Oct,0,0,18.11330749,1.3751937980000002,52.75398936,0.3,0.5273652849121566,2009
445,ADA STROUD RD FIRE,1.0,Accidental,35.36848333,-77.94196666,NC,Mar,0,15,9.370060923,2.980765883,58.5671406,57.2,0.0979164033188904,2010
455,SWEENEY,10.0,Accidental,37.21778,-87.73299,KY,Mar,1,0,12.10450231,0.0,0.0,0.0,0.1841991915309835,2012
462,WARD ROAD,1.5,Other,46.38,-120.337,WA,Jun,0,9,18.53682353,3.280196802,45.55842558,6.4,0.4956296560361821,2007
464,96,1.0,Arson,47.9783,-99.0225,ND,Apr,0,15,-1.37564645,5.796229972000001,72.39124227,21.2,0.2852066737854397,2007
470,CADE,1.0,Debris Burning,41.81416667,-123.35833329999998,CA,Jun,0,15,13.49457672,3.1058201060000004,63.75629139,26.3,0.5280936571717687,2005
474,SHEEP,0.6,Lightning,34.33805556,-117.7088889,CA,Jul,1,16,21.0,2.6,78.0,0.0,0.4741295275066108,2011
482,THUMB,1.0,Lightning,35.06555556,-112.0052778,AZ,May,0,15,15.34555556,3.801111111,41.35555556,5.6,0.416416398838074,2001
486,HOPE RD FIRE,3.8,Lightning,34.383334999999995,-80.966667,SC,Jul,0,16,27.95972696,2.3621843,53.00204778,0.0,0.1251640706558876,2011
489,FY2011-UPSON-070,2.45,Debris Burning,32.84417763,-84.40365152,GA,Apr,0,12,13.30962343,2.6820548580000003,70.14821029,0.0,0.1568441449371005,2011
494,ZURFLUH GRASS FIRE,1.68,Debris Burning,44.69583,-122.72389,OR,Aug,0,15,21.10714286,3.774524362,61.83519034,1.6,0.5205759301880752,2014
