,fire_size,fire_cause,latitude,longitude,discovery_month,putout_time,Temp_pre_7,Wind_pre_7,Hum_pre_7,Prec_pre_7,year
3,1.0,Debris Burning,39.6414,-119.3083,Jun,0,18.1425641,3.671282051,35.35384615,0.0,2005
24,40.0,Arson,31.43518075,-88.99948898,Apr,0,15.60479042,1.775903614,59.61445783,0.0,1999
26,2.0,Debris Burning,35.7189,-92.335,Jan,0,0.0,0.0,0.0,0.0,2014
31,1.2,Debris Burning,48.833,-99.7836,Apr,0,-4.273833671,6.65862069,71.17311609,9.2,2007
35,30.18,Debris Burning,31.259,-84.8956,Oct,0,18.18867925,2.211428571,60.32857143,0.0,2000
36,1420.0,Lightning,33.2418,-104.9122,Jul,1,34.89333333,3.695833333,18.20833333,0.0,1994
48,55.0,Debris Burning,37.46458863,-81.49122444,Apr,0,11.73579545,2.940116279,40.64534884,4.3,2014
54,3.2,Utilities,43.85158,-108.19147,Jul,0,24.40402299,2.821511628,37.62209302,2.8,2010
56,15.3,Utilities,36.5865,-96.32322,Dec,1,2.911842105,2.128193833,85.36936937,17.0,2015
57,270.0,Arson,35.47333333,-84.45,Oct,1,10.72222222,0.799509804,68.28723404,0.0,1999
59,57.0,Arson,36.81666667,-82.65166667,Apr,2,6.332934132,3.089221557,53.1257485,0.0,1995
64,1.5,Lightning,39.205,-105.18833329999998,Jul,1,0.0,0.0,0.0,0.0,1996
75,3.2,Utilities,45.0422716,-89.03498935,Apr,0,1.84,9.32,78.2,0.0,1995
78,450.0,Utilities,34.33,-117.5130556,Jul,1,28.49940476,2.769642857,49.0,0.0,2006
84,108.0,Lightning,63.8517,-150.3543,Jul,26,0.0,0.0,0.0,0.0,1997
86,13.65,Debris Burning,32.28853889,-82.40083333,Mar,0,8.807539683,3.027380952,76.53301887,0.0,2014
87,0.7,Accidental,34.9,-111.4333333,Jul,9,19.63333333,3.566666667,43.66666667,0.0,1992
94,1.0,Debris Burning,35.06351,-93.35006,Oct,0,14.73988764,1.988202247,64.69662921,14.3,2011
95,4.0,Debris Burning,32.25136667,-82.91357222,Jan,0,8.01547619,2.370833333,62.28686327,0.0,2015
97,9.94,Debris Burning,32.78947346,-84.84721729,Feb,0,16.46974359,2.281538462,66.01025641,0.0,2011
98,26.0,Accidental,45.76867435,-116.3321016,Aug,0,20.58231707,0.513414634,59.5,0.0,2012
102,10.66,Utilities,32.4929,-84.1167,Apr,0,14.57678571,4.010119048,69.81927711,111.8,1993
111,3.4,Arson,34.9102,-85.4287,Mar,0,8.141935484,4.412962963,67.18055556,102.0,2001
114,2.0,Utilities,47.41333333,-94.49,Mar,0,-10.43478261,3.891304348,62.87681159,0.0,1998
