,fire_name,fire_size,stat_cause_descr,latitude,longitude,state,discovery_month,putout_time,year
0,WNA  1,1.0,Debris Burning,39.6414,-119.3083,NV,Jun,0,2005
1,CRAZY,1.0,Miscellaneous,48.8394,-99.7185,ND,Apr,0,2004
2,STO3573155,2.0,Debris Burning,35.7189,-92.335,AR,Jan,0,2014
3,AXE RONDEAU,1.2,Debris Burning,48.833,-99.7836,ND,Apr,0,2007
4,FY2001-EARLY-021,30.18,Debris Burning,31.259,-84.8956,GA,Oct,0,2000
5,LUCKY,1420.0,Lightning,33.2418,-104.9122,NM,Jul,1 days 00:00:00.000000000,1994
6,LAUREL BRANCH,55.0,Debris Burning,37.46458863,-81.49122444,WV,Apr,0,2014
7,AGERT,3.2,Equipment Use,43.85158,-108.19147,WY,Jul,0,2010
8,LED BETTER BARN,15.3,Equipment Use,36.5865,-96.32322,OK,Dec,1 days 00:00:00.000000000,2015
9,CALDERWOOD,270.0,Arson,35.47333333,-84.45,TN,Oct,1 days 00:00:00.000000000,1999
10,DEVIL'S,57.0,Arson,36.81666667,-82.65166667,VA,Apr,2 days 00:00:00.000000000,1995
11,SPRING GULCH,1.5,Lightning,39.205,-105.18833329999998,CO,Jul,1 days 00:00:00.000000000,1996
12,RAMP,450.0,Equipment Use,34.33,-117.5130556,CA,Jul,1 days 00:00:00.000000000,2006
13,TELEPHONE CANYON,18.0,Missing/Undefined,41.51085,-109.50637,WY,Jun,3 days 00:00:00.000000000,2012
14,LIL CARIBO,108.0,Lightning,63.8517,-150.3543,AK,Jul,26 days 00:00:00.000000000,1997
15,FY2014-TOOMBS-030,13.65,Debris Burning,32.28853889,-82.40083333,GA,Mar,0,2014
16,SWEETBAY 1,1.0,Miscellaneous,25.334719,-80.80555600000001,FL,Apr,0,1992
17,RL278,20.0,Miscellaneous,47.8666,-94.9169,MN,Apr,0,2000
18,FY2015-LAURENS-107,4.0,Debris Burning,32.25136667,-82.91357222,GA,Jan,0,2015
19,FY2011-HARRIS-024,9.94,Debris Burning,32.78947346,-84.84721729,GA,Feb,0,2011
20,HAMMER CREEK,26.0,Campfire,45.76867435,-116.3321016,ID,Aug,0,2012
21,FY2001-DADE-041,3.4,Arson,34.9102,-85.4287,GA,Mar,0,2001
22,WABANA POWERLINE,2.0,Equipment Use,47.41333333,-94.49,MN,Mar,0,1998
23,FY2012-COWETA-020,5.2,Miscellaneous,33.42630321,-84.92522609999999,GA,Apr,0,2012
24,EIGHT MILE,2.0,Campfire,37.1575,-107.0202778,CO,Sep,3 days 00:00:00.000000000,2008
25,OLD ELK,1.0,Structure,45.5639,-107.4868,MT,Oct,0,1995
26,BALL,3.0,Lightning,36.0602,-118.0965,CA,Jul,2 days 00:00:00.000000000,2003
27,WHITFIELD RD.,1.0,Arson,34.8839,-98.2039,OK,Aug,0,2011
28,NICHOLS,78.0,Arson,36.78186,-96.004014,OK,Dec,0,2013
29,MULTIPLE,3.0,Arson,33.2892,-110.4575,AZ,May,0,2006
30,FY2000-STEWART-045,1.23,Miscellaneous,32.0988,-84.7623,GA,Mar,0,2000
31,LASILOO,1.0,Children,35.0623,-108.8434,NM,May,0,1997
32,LAKERIDGE1,1.0,Lightning,33.9848,-110.0857,AZ,Jul,0,1997
33,AGARD,1.0,Debris Burning,46.1144,-100.6923,ND,Apr,0,2001
34,LINDEN - 411,1.0,Miscellaneous,33.58500167,-95.08555556,TX,Aug,0,2011
35,BUCK LAKE,9.1,Campfire,29.1325,-81.62,FL,May,0,2015
36,HOLZERS,17.9,Children,48.0443,-118.3853,WA,May,0,2001
37,WLDFR-BOYE,40.0,Equipment Use,41.533,-96.0333,NE,Aug,0,2002
38,FRIEBORN,1.5,Lightning,33.7319444,-109.026667,NM,Jul,3 days 00:00:00.000000000,2010
39,LONESOME,1.0,Lightning,40.22861111,-120.6713889,CA,Jun,1 days 00:00:00.000000000,2006
40,FY2014-BLECKLEY-006,10.0,Arson,32.51734167,-83.2437,GA,Dec,0,2013
41,CROOKED RD,2.0,Debris Burning,42.9758,-108.9493,WY,Mar,0,2006
42,FY2012-FULTON SOUTH-002,6.0,Miscellaneous,33.55983163,-84.47725968,GA,Nov,0,2011
43,FY2015-TREUTLEN-022,0.8,Debris Burning,32.45075,-82.61933333,GA,Dec,0,2014
44,8.52014E+12,5.0,Campfire,31.55336502,-90.38181672,MS,Nov,0,2014
45,LEYBA,1.0,Miscellaneous,35.5773,-106.3884,NM,Jan,0,1996
46,INDIAN CREEK,46.4,Arson,37.73305556,-91.075,MO,Mar,0,2012
47,BURLINGTON ROAD (39),1.0,Arson,30.3595,-84.8169,FL,Jun,0,2015
48,WEST HUNGRYLAND (43),76.0,Lightning,27.0042,-80.3196,FL,Jul,0,2015
49,GREEN MOUNTAIN,510.0,Lightning,47.95055556,-115.6347222,MT,Aug,18 days 00:00:00.000000000,2000
50,LUCKY2,30.0,Equipment Use,34.197,-103.532,NM,Mar,0,2011
51,1448 LIBERTY CHURCH RD.,1.0,Debris Burning,36.0107,-80.650283,NC,Jan,0,2015
52,BANNING LANE,5.0,Arson,35.34527778,-82.63527778,NC,May,1 days 00:00:00.000000000,2006
53,YATSATTIE,15.0,Debris Burning,34.8834,-109.034,NM,Mar,0,1996
54,MARSHMELLO,3.0,Children,43.255,-100.8376,SD,May,0,2002
55,212DAYSCHL,168.3,Miscellaneous,45.0917,-100.4587,SD,Apr,0,1992
56,VALLEY 2,1.3,Miscellaneous,33.50411,-116.3795,CA,Oct,5 days 00:00:00.000000000,2013
57,LONG  CYN.,5.2,Lightning,33.7556,-109.6509,AZ,Jun,3 days 00:00:00.000000000,2005
58,BLUEBELLSP,3.0,Lightning,39.4555,-109.9757,UT,Aug,0,1996
59,COWHOUSE ISLAND 1,29.0,Arson,31.0201,-82.23888889,GA,Apr,16 days 00:00:00.000000000,2006
60,ELIZABETH STREET,1.0,Lightning,39.28266823,-80.58605765,WV,Apr,0,1995
61,FREEWAY 2,8.0,Miscellaneous,39.951177,-122.200397,CA,May,0,2014
62,WENDY,3.0,Miscellaneous,35.92829376,-119.3128859,CA,Jun,0,1999
63,CREW CAB,1.0,Equipment Use,46.1525,-100.6915,ND,May,0,2005
64,ELK TRACE,9.0,Fireworks,37.7073881,-81.73046153,WV,May,0,2014
65,FY2002-FLOYD-087,9.77,Debris Burning,34.4816,-85.1115,GA,Apr,0,2002
66,FIGHTER,4.5,Arson,48.8525,-99.685,ND,Oct,0,2006
67,HONDO,2.0,Lightning,35.6845,-106.5517,NM,Jul,1 days 00:00:00.000000000,2001
68,LEFT HAND,2.0,Lightning,33.77555556,-108.8855556,NM,Nov,0,2013
69,UPS FIRE,1.0,Debris Burning,35.6995,-80.25333333,NC,Apr,0,2010
70,FY2016-HOUSTON-003,4.89,Debris Burning,32.37227778,-83.84344444,GA,Aug,0,2015
71,1603 17 MILE FIRE,4.2,Debris Burning,42.9808,-108.4483,WY,Apr,0,2012
72,SENECA FIRE,2.2,Debris Burning,38.86861111,-79.36194444,WV,Apr,2 days 00:00:00.000000000,2009
73,SHEEP PASTURE ROAD FIRE,2.0,Debris Burning,35.12,-77.83833333,NC,Apr,0,2010
74,TOWN HILL,1.0,Debris Burning,37.10551834,-82.8234024,KY,Dec,0,2013
75,9N CORN,470.0,Equipment Use,42.2017,-96.5558,NE,Mar,0,2010
76,FY2014-WALKER-051,8.71,Smoking,34.67888889,-85.30972222,GA,Apr,0,2014
77,SHAWN,4.9,Debris Burning,48.8655,-99.8528,ND,Apr,0,2010
78,SQUAWCREEK,32.4,Lightning,41.2352,-116.7362,NV,Jul,1 days 00:00:00.000000000,2001
79,10316,15.0,Lightning,34.41000001,-95.91016668,OK,Jun,0,2009
80,ROLLF,1.0,Arson,39.936181,-122.09345,CA,Aug,0,2004
81,FLAT TOP,1.0,Arson,35.7239,-94.5942,OK,Nov,0,2008
