,fire_index,fire_size,fire_cause,latitude,longitude,discovery_month,putout_time,Temp_cont,Wind_cont,Hum_cont,Prec_cont,year
0,3,1.0,Debris Burning,39.6414,-119.3083,Jun,0,0.0,0.0,0.0,0.0,2005
1,24,40.0,Arson,31.43518075,-88.99948898,Apr,0,0.0,0.0,0.0,0.0,1999
2,26,2.0,Debris Burning,35.7189,-92.335,Jan,0,0.0,0.0,0.0,0.0,2014
3,31,1.2,Debris Burning,48.833,-99.7836,Apr,0,0.0,0.0,0.0,0.0,2007
4,35,30.18,Debris Burning,31.259,-84.8956,Oct,0,0.0,0.0,0.0,0.0,2000
5,36,1420.0,Lightning,33.2418,-104.9122,Jul,1,36.24117647,4.217647059,17.05882353,0.0,1994
6,48,55.0,Debris Burning,37.46458863,-81.49122444,Apr,0,0.0,0.0,0.0,0.0,2014
7,54,3.2,Utilities,43.85158,-108.19147,Jul,0,0.0,0.0,0.0,0.0,2010
8,56,15.3,Utilities,36.5865,-96.32322,Dec,1,5.258333333,3.558333333,71.5,0.0,2015
9,57,270.0,Arson,35.47333333,-84.45,Oct,1,16.43103448,0.982758621,67.05,0.0,1999
10,59,57.0,Arson,36.81666667,-82.65166667,Apr,2,13.00208333,1.95,37.85416667,0.0,1995
11,64,1.5,Lightning,39.205,-105.18833329999998,Jul,1,0.0,0.0,0.0,0.0,1996
12,75,3.2,Utilities,45.0422716,-89.03498935,Apr,0,0.0,0.0,0.0,0.0,1995
13,78,450.0,Utilities,34.33,-117.5130556,Jul,1,33.9,2.2375,39.375,0.0,2006
14,84,108.0,Lightning,63.8517,-150.3543,Jul,26,0.0,0.0,0.0,0.0,1997
15,86,13.65,Debris Burning,32.28853889,-82.40083333,Mar,0,0.0,0.0,0.0,0.0,2014
16,87,0.7,Accidental,34.9,-111.4333333,Jul,9,24.8,1.4571428569999998,68.57142857,0.0,1992
17,94,1.0,Debris Burning,35.06351,-93.35006,Oct,0,0.0,0.0,0.0,0.0,2011
18,95,4.0,Debris Burning,32.25136667,-82.91357222,Jan,0,0.0,0.0,0.0,0.0,2015
19,97,9.94,Debris Burning,32.78947346,-84.84721729,Feb,0,0.0,0.0,0.0,0.0,2011
20,98,26.0,Accidental,45.76867435,-116.3321016,Aug,0,0.0,0.0,0.0,0.0,2012
21,102,10.66,Utilities,32.4929,-84.1167,Apr,0,0.0,0.0,0.0,0.0,1993
22,111,3.4,Arson,34.9102,-85.4287,Mar,0,0.0,0.0,0.0,0.0,2001
23,114,2.0,Utilities,47.41333333,-94.49,Mar,0,0.0,0.0,0.0,0.0,1998
24,119,2.0,Accidental,37.1575,-107.0202778,Sep,3,6.0382165610000005,6.91910828,53.36305732,0.0,2008
25,123,3.0,Lightning,36.0602,-118.0965,Jul,2,34.5,4.572222222,0.0,0.0,2003
26,124,1.0,Arson,34.8839,-98.2039,Aug,0,0.0,0.0,0.0,0.0,2011
