,fire_name,fire_cause
3,WNA  1,Debris Burning
9,CRAZY,Other
26,STO3573155,Debris Burning
31,AXE RONDEAU,Debris Burning
35,FY2001-EARLY-021,Debris Burning
36,LUCKY,Lightning
48,LAUREL BRANCH,Debris Burning
54,AGERT,Utilities
56,LED BETTER BARN,Utilities
57,CALDERWOOD,Arson
59,DEVIL'S,Arson
64,SPRING GULCH,Lightning
78,RAMP,Utilities
83,TELEPHONE CANYON,Other
84,LIL CARIBO,Lightning
86,FY2014-TOOMBS-030,Debris Burning
89,SWEETBAY 1,Other
91,RL278,Other
95,FY2015-LAURENS-107,Debris Burning
97,FY2011-HARRIS-024,Debris Burning
98,HAMMER CREEK,Accidental
111,FY2001-DADE-041,Arson
114,WABANA POWERLINE,Utilities
115,FY2012-COWETA-020,Other
119,EIGHT MILE,Accidental
121,OLD ELK,Other
123,BALL,Lightning
124,WHITFIELD RD.,Arson
130,NICHOLS,Arson
131,MULTIPLE,Arson
133,FY2000-STEWART-045,Other
139,LASILOO,Accidental
142,LAKERIDGE1,Lightning
146,AGARD,Debris Burning
154,LINDEN - 411,Other
157,BUCK LAKE,Accidental
165,HOLZERS,Accidental
173,WLDFR-BOYE,Utilities
187,FRIEBORN,Lightning
192,LONESOME,Lightning
193,FY2014-BLECKLEY-006,Arson
199,CROOKED RD,Debris Burning
219,FY2012-FULTON SOUTH-002,Other
220,FY2015-TREUTLEN-022,Debris Burning
222,8.52014E+12,Accidental
225,LEYBA,Other
227,INDIAN CREEK,Arson
230,BURLINGTON ROAD (39),Arson
232,WEST HUNGRYLAND (43),Lightning
236,GREEN MOUNTAIN,Lightning
237,LUCKY2,Utilities
241,1448 LIBERTY CHURCH RD.,Debris Burning
261,BANNING LANE,Arson
262,YATSATTIE,Debris Burning
266,MARSHMELLO,Accidental
269,212DAYSCHL,Other
274,VALLEY 2,Other
286,LONG  CYN.,Lightning
290,BLUEBELLSP,Lightning
291,COWHOUSE ISLAND 1,Arson
297,ELIZABETH STREET,Lightning
308,FREEWAY 2,Other
312,WENDY,Other
313,CREW CAB,Utilities
318,ELK TRACE,Accidental
319,FY2002-FLOYD-087,Debris Burning
323,FIGHTER,Arson
338,HONDO,Lightning
344,LEFT HAND,Lightning
357,UPS FIRE,Debris Burning
361,FY2016-HOUSTON-003,Debris Burning
368,1603 17 MILE FIRE,Debris Burning
377,SENECA FIRE,Debris Burning
382,SHEEP PASTURE ROAD FIRE,Debris Burning
384,TOWN HILL,Debris Burning
385,9N CORN,Utilities
389,FY2014-WALKER-051,Accidental
396,SHAWN,Debris Burning
401,SQUAWCREEK,Lightning
407,10316,Lightning
419,ROLLF,Arson
421,FLAT TOP,Arson
424,GABLE FIRE,Utilities
439,COON CREEK FIRE,Debris Burning
441,OAK,Utilities
445,ADA STROUD RD FIRE,Accidental
455,SWEENEY,Accidental
462,WARD ROAD,Other
464,96,Arson
470,CADE,Debris Burning
474,SHEEP,Lightning
482,THUMB,Lightning
486,HOPE RD FIRE,Lightning
