,fire_name,discovery_month,putout_time,year
3,WNA  1,Jun,0,2005
9,CRAZY,Apr,0,2004
26,STO3573155,Jan,0,2014
31,AXE RONDEAU,Apr,0,2007
35,FY2001-EARLY-021,Oct,0,2000
36,LUCKY,Jul,1,1994
48,LAUREL BRANCH,Apr,0,2014
54,AGERT,Jul,0,2010
56,LED BETTER BARN,Dec,1,2015
57,CALDERWOOD,Oct,1,1999
59,DEVIL'S,Apr,2,1995
64,SPRING GULCH,Jul,1,1996
78,RAMP,Jul,1,2006
83,TELEPHONE CANYON,Jun,3,2012
84,LIL CARIBO,Jul,26,1997
86,FY2014-TOOMBS-030,Mar,0,2014
89,SWEETBAY 1,Apr,0,1992
91,RL278,Apr,0,2000
95,FY2015-LAURENS-107,Jan,0,2015
97,FY2011-HARRIS-024,Feb,0,2011
98,HAMMER CREEK,Aug,0,2012
111,FY2001-DADE-041,Mar,0,2001
114,WABANA POWERLINE,Mar,0,1998
115,FY2012-COWETA-020,Apr,0,2012
119,EIGHT MILE,Sep,3,2008
121,OLD ELK,Oct,0,1995
123,BALL,Jul,2,2003
124,WHITFIELD RD.,Aug,0,2011
130,NICHOLS,Dec,0,2013
131,MULTIPLE,May,0,2006
133,FY2000-STEWART-045,Mar,0,2000
139,LASILOO,May,0,1997
142,LAKERIDGE1,Jul,0,1997
146,AGARD,Apr,0,2001
154,LINDEN - 411,Aug,0,2011
157,BUCK LAKE,May,0,2015
165,HOLZERS,May,0,2001
173,WLDFR-BOYE,Aug,0,2002
187,FRIEBORN,Jul,3,2010
192,LONESOME,Jun,1,2006
193,FY2014-BLECKLEY-006,Dec,0,2013
199,CROOKED RD,Mar,0,2006
219,FY2012-FULTON SOUTH-002,Nov,0,2011
220,FY2015-TREUTLEN-022,Dec,0,2014
222,8.52014E+12,Nov,0,2014
225,LEYBA,Jan,0,1996
227,INDIAN CREEK,Mar,0,2012
230,BURLINGTON ROAD (39),Jun,0,2015
232,WEST HUNGRYLAND (43),Jul,0,2015
236,GREEN MOUNTAIN,Aug,18,2000
237,LUCKY2,Mar,0,2011
241,1448 LIBERTY CHURCH RD.,Jan,0,2015
261,BANNING LANE,May,1,2006
262,YATSATTIE,Mar,0,1996
266,MARSHMELLO,May,0,2002
