,fire_size,fire_cause,latitude,longitude,state,discovery_month,putout_time,year
3,1.0,Debris Burning,39.6414,-119.3083,NV,Jun,0,2005
24,40.0,Arson,31.43518075,-88.99948898,MS,Apr,0,1999
26,2.0,Debris Burning,35.7189,-92.335,AR,Jan,0,2014
31,1.2,Debris Burning,48.833,-99.7836,ND,Apr,0,2007
35,30.18,Debris Burning,31.259,-84.8956,GA,Oct,0,2000
36,1420.0,Lightning,33.2418,-104.9122,NM,Jul,1,1994
48,55.0,Debris Burning,37.46458863,-81.49122444,WV,Apr,0,2014
54,3.2,Utilities,43.85158,-108.19147,WY,Jul,0,2010
56,15.3,Utilities,36.5865,-96.32322,OK,Dec,1,2015
57,270.0,Arson,35.47333333,-84.45,TN,Oct,1,1999
59,57.0,Arson,36.81666667,-82.65166667,VA,Apr,2,1995
64,1.5,Lightning,39.205,-105.18833329999998,CO,Jul,1,1996
75,3.2,Utilities,45.0422716,-89.03498935,WI,Apr,0,1995
78,450.0,Utilities,34.33,-117.5130556,CA,Jul,1,2006
84,108.0,Lightning,63.8517,-150.3543,AK,Jul,26,1997
86,13.65,Debris Burning,32.28853889,-82.40083333,GA,Mar,0,2014
87,0.7,Accidental,34.9,-111.4333333,AZ,Jul,9,1992
94,1.0,Debris Burning,35.06351,-93.35006,AR,Oct,0,2011
95,4.0,Debris Burning,32.25136667,-82.91357222,GA,Jan,0,2015
97,9.94,Debris Burning,32.78947346,-84.84721729,GA,Feb,0,2011
98,26.0,Accidental,45.76867435,-116.3321016,ID,Aug,0,2012
102,10.66,Utilities,32.4929,-84.1167,GA,Apr,0,1993
111,3.4,Arson,34.9102,-85.4287,GA,Mar,0,2001
114,2.0,Utilities,47.41333333,-94.49,MN,Mar,0,1998
119,2.0,Accidental,37.1575,-107.0202778,CO,Sep,3,2008
123,3.0,Lightning,36.0602,-118.0965,CA,Jul,2,2003
124,1.0,Arson,34.8839,-98.2039,OK,Aug,0,2011
125,1.5,Arson,31.4636,-81.3551,GA,Jul,0,1996
126,15.0,Arson,34.80025167,-89.65493016,MS,May,0,1996
127,4.0,Lightning,45.63666667,-106.0383333,MT,Jun,1,1994
130,78.0,Arson,36.78186,-96.004014,OK,Dec,0,2013
131,3.0,Arson,33.2892,-110.4575,AZ,May,0,2006
139,1.0,Accidental,35.0623,-108.8434,NM,May,0,1997
142,1.0,Lightning,33.9848,-110.0857,AZ,Jul,0,1997
146,1.0,Debris Burning,46.1144,-100.6923,ND,Apr,0,2001
148,3.0,Debris Burning,34.301426,-79.426903,SC,Mar,0,2014
157,9.1,Accidental,29.1325,-81.62,FL,May,0,2015
165,17.9,Accidental,48.0443,-118.3853,WA,May,0,2001
170,4.0,Arson,33.310308,-87.777564,AL,Apr,0,2008
173,40.0,Utilities,41.533,-96.0333,NE,Aug,0,2002
175,1.74,Utilities,42.82194189,-73.35379719,NY,Apr,0,2005
187,1.5,Lightning,33.7319444,-109.026667,NM,Jul,3,2010
