,fire_name,latitude,longitude,state,remoteness
3,WNA  1,39.6414,-119.3083,NV,0.4874474548506364
9,CRAZY,48.8394,-99.7185,ND,0.2916826266795891
26,STO3573155,35.7189,-92.335,AR,0.2272697343448786
31,AXE RONDEAU,48.833,-99.7836,ND,0.2923027163909939
35,FY2001-EARLY-021,31.259,-84.8956,GA,0.1624159398172477
36,LUCKY,33.2418,-104.9122,NM,0.3479907070469388
48,LAUREL BRANCH,37.46458863,-81.49122444,WV,0.127991882782634
54,AGERT,43.85158,-108.19147,WY,0.3746517113312526
56,LED BETTER BARN,36.5865,-96.32322,OK,0.2639427624719013
57,CALDERWOOD,35.47333333,-84.45,TN,0.1555431553430117
59,DEVIL'S,36.81666667,-82.65166667,VA,0.1386698681295559
64,SPRING GULCH,39.205,-105.18833329999998,CO,0.347202748581888
78,RAMP,34.33,-117.5130556,CA,0.47215020307743
83,TELEPHONE CANYON,41.51085,-109.50637,WY,0.3884084306904412
84,LIL CARIBO,63.8517,-150.3543,AK,0.8197266531954936
86,FY2014-TOOMBS-030,32.28853889,-82.40083333,GA,0.1393298173350989
89,SWEETBAY 1,25.334719,-80.80555600000001,FL,0.131003293445296
91,RL278,47.8666,-94.9169,MN,0.2465745578827336
95,FY2015-LAURENS-107,32.25136667,-82.91357222,GA,0.1439278422115411
97,FY2011-HARRIS-024,32.78947346,-84.84721729,GA,0.1608674518866872
98,HAMMER CREEK,45.76867435,-116.3321016,ID,0.4550891494307116
111,FY2001-DADE-041,34.9102,-85.4287,GA,0.1646940623147792
114,WABANA POWERLINE,47.41333333,-94.49,MN,0.2426723339716054
115,FY2012-COWETA-020,33.42630321,-84.92522609999999,GA,0.1611297655602113
119,EIGHT MILE,37.1575,-107.0202778,CO,0.3660826818678131
121,OLD ELK,45.5639,-107.4868,MT,0.36726205791625
123,BALL,36.0602,-118.0965,CA,0.4769991839981995
124,WHITFIELD RD.,34.8839,-98.2039,OK,0.2826857602442385
