,fire_name,veg_label
3,WNA  1,Other
9,CRAZY,Polar Desert/Rock/Ice
26,STO3573155,Polar Desert/Rock/Ice
31,AXE RONDEAU,Polar Desert/Rock/Ice
35,FY2001-EARLY-021,Open Shrubland
36,LUCKY,Secondary Tropical Evergreen Broadleaf Forest
48,LAUREL BRANCH,Other
54,AGERT,C3 Grassland/Steppe
56,LED BETTER BARN,Other
57,CALDERWOOD,Polar Desert/Rock/Ice
59,DEVIL'S,Other
64,SPRING GULCH,Other
78,RAMP,Secondary Tropical Evergreen Broadleaf Forest
83,TELEPHONE CANYON,Polar Desert/Rock/Ice
84,LIL CARIBO,Other
86,FY2014-TOOMBS-030,Open Shrubland
89,SWEETBAY 1,Open Shrubland
91,RL278,Polar Desert/Rock/Ice
95,FY2015-LAURENS-107,Open Shrubland
97,FY2011-HARRIS-024,Open Shrubland
98,HAMMER CREEK,Polar Desert/Rock/Ice
111,FY2001-DADE-041,Secondary Tropical Evergreen Broadleaf Forest
114,WABANA POWERLINE,Polar Desert/Rock/Ice
115,FY2012-COWETA-020,Secondary Tropical Evergreen Broadleaf Forest
119,EIGHT MILE,Other
121,OLD ELK,Polar Desert/Rock/Ice
123,BALL,Other
124,WHITFIELD RD.,Secondary Tropical Evergreen Broadleaf Forest
130,NICHOLS,Other
131,MULTIPLE,Secondary Tropical Evergreen Broadleaf Forest
133,FY2000-STEWART-045,Open Shrubland
139,LASILOO,Polar Desert/Rock/Ice
142,LAKERIDGE1,Secondary Tropical Evergreen Broadleaf Forest
146,AGARD,C3 Grassland/Steppe
154,LINDEN - 411,Secondary Tropical Evergreen Broadleaf Forest
157,BUCK LAKE,Open Shrubland
165,HOLZERS,Polar Desert/Rock/Ice
173,WLDFR-BOYE,Polar Desert/Rock/Ice
187,FRIEBORN,Secondary Tropical Evergreen Broadleaf Forest
192,LONESOME,Desert
193,FY2014-BLECKLEY-006,Open Shrubland
199,CROOKED RD,Temperate Evergreen Needleleaf Forest TmpENF
219,FY2012-FULTON SOUTH-002,Secondary Tropical Evergreen Broadleaf Forest
220,FY2015-TREUTLEN-022,Open Shrubland
222,8.52014E+12,Open Shrubland
225,LEYBA,Polar Desert/Rock/Ice
227,INDIAN CREEK,Other
230,BURLINGTON ROAD (39),Open Shrubland
232,WEST HUNGRYLAND (43),Open Shrubland
236,GREEN MOUNTAIN,Polar Desert/Rock/Ice
237,LUCKY2,Secondary Tropical Evergreen Broadleaf Forest
241,1448 LIBERTY CHURCH RD.,Other
261,BANNING LANE,Polar Desert/Rock/Ice
262,YATSATTIE,Secondary Tropical Evergreen Broadleaf Forest
266,MARSHMELLO,C3 Grassland/Steppe
269,212DAYSCHL,C3 Grassland/Steppe
274,VALLEY 2,Secondary Tropical Evergreen Broadleaf Forest
286,LONG  CYN.,Secondary Tropical Evergreen Broadleaf Forest
290,BLUEBELLSP,Other
291,COWHOUSE ISLAND 1,Open Shrubland
297,ELIZABETH STREET,Other
308,FREEWAY 2,Other
312,WENDY,Polar Desert/Rock/Ice
313,CREW CAB,C3 Grassland/Steppe
318,ELK TRACE,Other
319,FY2002-FLOYD-087,Secondary Tropical Evergreen Broadleaf Forest
323,FIGHTER,Polar Desert/Rock/Ice
338,HONDO,Polar Desert/Rock/Ice
344,LEFT HAND,Secondary Tropical Evergreen Broadleaf Forest
357,UPS FIRE,Polar Desert/Rock/Ice
361,FY2016-HOUSTON-003,Open Shrubland
368,1603 17 MILE FIRE,Temperate Evergreen Needleleaf Forest TmpENF
377,SENECA FIRE,Other
382,SHEEP PASTURE ROAD FIRE,Polar Desert/Rock/Ice
384,TOWN HILL,Other
385,9N CORN,C3 Grassland/Steppe
389,FY2014-WALKER-051,Secondary Tropical Evergreen Broadleaf Forest
396,SHAWN,Polar Desert/Rock/Ice
401,SQUAWCREEK,Polar Desert/Rock/Ice
407,10316,Secondary Tropical Evergreen Broadleaf Forest
419,ROLLF,Other
421,FLAT TOP,Polar Desert/Rock/Ice
424,GABLE FIRE,Secondary Tropical Evergreen Broadleaf Forest
439,COON CREEK FIRE,Other
441,OAK,Other
445,ADA STROUD RD FIRE,Polar Desert/Rock/Ice
455,SWEENEY,Other
462,WARD ROAD,C3 Grassland/Steppe
464,96,Polar Desert/Rock/Ice
470,CADE,Polar Desert/Rock/Ice
474,SHEEP,Secondary Tropical Evergreen Broadleaf Forest
482,THUMB,Polar Desert/Rock/Ice
