fire_id,km_class7,km_class15,km_class30,km_pca_class7,km_pca_class15,km_pca_class30,hc_class7,hc_class15,hc_class30,km_scaled_class7,km_scaled_class15,km_scaled_class30
3,1,1,2,0,2,1,2,1,1,2,1,1
24,2,2,3,2,1,0,0,0,0,0,0,0
31,0,0,3,1,0,2,2,2,2,2,2,2
35,2,3,0,2,1,0,0,0,1,0,0,1
36,1,1,1,0,2,1,1,1,1,1,1,1
48,2,2,3,1,0,2,2,2,2,2,2,2
54,1,1,1,0,2,1,1,1,1,1,1,1
56,0,0,3,1,0,2,0,2,2,0,2,2
57,0,0,0,2,1,0,0,0,0,0,0,0
59,2,0,2,1,0,2,2,2,2,2,2,2
75,0,0,3,1,0,2,2,2,2,2,2,2
78,2,2,2,0,2,1,1,1,1,1,1,1
86,0,0,3,1,1,0,0,0,0,0,0,0
87,2,2,2,0,0,1,1,0,1,1,0,1
94,0,3,0,2,1,0,0,0,0,0,0,0
95,0,0,3,2,1,0,2,0,0,2,0,0
97,0,0,3,2,1,2,0,0,0,0,0,0
98,2,2,2,2,1,0,0,0,0,0,0,0
102,0,0,3,1,0,2,2,2,2,2,2,2
111,0,0,3,1,0,2,2,2,0,2,2,0
114,0,0,3,1,0,2,2,2,2,2,2,2
119,1,2,2,1,0,2,2,2,2,2,2,2
124,1,1,1,0,2,1,1,1,1,1,1,1
125,0,3,0,0,1,0,2,0,1,2,0,1
126,2,3,3,1,0,2,2,2,2,2,2,2
130,0,0,3,1,0,2,0,2,0,0,2,0
131,1,1,1,0,2,1,1,1,1,1,1,1
142,1,1,1,0,2,1,1,1,1,1,1,1
146,0,0,3,1,0,2,2,2,2,2,2,2
148,0,0,3,1,0,2,2,0,0,2,0,0
157,0,3,0,2,1,0,0,0,0,0,0,0
165,2,2,3,1,1,0,2,0,0,2,0,0
170,0,3,0,1,1,2,2,0,0,2,0,0
175,2,2,3,2,1,2,2,0,0,2,0,0
187,1,1,1,0,2,1,1,1,1,1,1,1
192,2,0,3,2,1,0,0,0,0,0,0,0
193,0,3,3,2,1,0,0,0,0,0,0,0
197,2,0,3,1,0,2,2,2,2,2,2,2
199,2,0,3,1,0,2,2,2,2,2,2,2
204,0,2,2,1,0,2,2,2,2,2,2,2
