fire_id,state_no,discovery_month_no,Temp_pre_30,Wind_pre_30,Hum_pre_30,fire_size_bin_no,medium_plus
3,29,6,16.27596717,4.054982415,44.77842907,1,0
24,22,4,13.46861925,2.038268156,57.99720670000001,3,0
31,25,4,-0.8916349809999999,5.800666667000001,77.57501206,1,0
35,8,10,20.07947977,3.65984,67.55178268,3,0
36,28,7,31.05585937,4.026367187,28.78320313,5,1
48,44,4,8.9048,4.18489426,56.23867069,4,1
54,45,7,22.72938005,3.148513514,37.25675676,1,0
56,32,12,8.523263157999999,3.278095238,76.61521739,3,0
57,38,10,14.40471888,1.976602238,73.77567887,4,1
59,41,4,8.864242424,3.135151515,52.83489097,4,1
75,43,4,3.713043478,5.752173912999999,66.91111111,1,0
78,5,7,27.85048276,2.58,44.7062069,4,1
86,8,3,10.97154851,2.438199627,70.45740836,3,0
87,4,7,21.73636364,4.227272727,49.36363636,1,0
94,3,10,17.81246973,1.297578692,66.64366374,1,0
95,8,1,8.147935035,1.737633411,60.78588808,1,0
97,8,2,9.430668127,2.727601314,68.88056206,2,0
98,10,8,21.5948324,0.564106145,58.11033520000001,3,0
102,8,4,12.84916667,3.94,66.63687151,3,0
111,8,3,9.76573499,3.2640625,66.86682243,1,0
114,20,3,-2.428571429,3.833282675,74.28658537,1,0
119,6,9,8.664914586,4.722141918999999,40.75965379,1,0
124,32,8,33.97345013,3.947843666,37.33962264,1,0
125,8,7,28.18606061,3.3301538460000004,65.93290735,1,0
126,22,5,15.41722222,4.2986111110000005,59.85915493,3,0
130,32,12,0.269237833,2.04214876,77.41107185,4,1
131,4,5,24.38005502,4.2039889960000005,16.61019284,1,0
142,4,7,26.63636364,4.91010101,19.66161616,1,0
146,25,4,-1.333333333,3.925558659,76.08645533,1,0
148,36,3,9.462435838,3.178114792,65.43231899,1,0
157,7,5,23.9530451,2.731174278,72.50804829,2,0
165,42,5,12.35106383,2.196153846,57.91025641,3,0
170,2,4,16.58855886,3.472937294,66.75247525,1,0
175,30,4,6.530284302,3.062917182,61.73507463,1,0
187,28,7,24.02811671,3.772413793,28.45949535,1,0
192,5,6,11.74899058,1.548317631,61.60083682,1,0
193,8,12,11.56821378,2.082512893,70.15806662,3,0
197,8,3,9.69099723,3.854155125,59.47965116,1,0
