fire_id,state,discovery_month,Temp_pre_7,Wind_pre_7,Hum_pre_7,fire_size_bin_no,medium_plus
3,NV,Jun,18.1425641,3.671282051,35.35384615,1,0
24,MS,Apr,15.60479042,1.775903614,59.61445783,3,0
31,ND,Apr,-4.273833671,6.65862069,71.17311609,1,0
35,GA,Oct,18.18867925,2.211428571,60.32857143,3,0
36,NM,Jul,34.89333333,3.695833333,18.20833333,5,1
48,WV,Apr,11.73579545,2.940116279,40.64534884,4,1
54,WY,Jul,24.40402299,2.821511628,37.62209302,1,0
56,OK,Dec,2.911842105,2.128193833,85.36936937,3,0
57,TN,Oct,10.72222222,0.799509804,68.28723404,4,1
59,VA,Apr,6.332934132,3.089221557,53.1257485,4,1
75,WI,Apr,1.84,9.32,78.2,1,0
78,CA,Jul,28.49940476,2.769642857,49.0,4,1
86,GA,Mar,8.807539683,3.027380952,76.53301887,3,0
87,AZ,Jul,19.63333333,3.566666667,43.66666667,1,0
94,AR,Oct,14.73988764,1.988202247,64.69662921,1,0
95,GA,Jan,8.01547619,2.370833333,62.28686327,1,0
97,GA,Feb,16.46974359,2.281538462,66.01025641,2,0
98,ID,Aug,20.58231707,0.513414634,59.5,3,0
102,GA,Apr,14.57678571,4.010119048,69.81927711,3,0
111,GA,Mar,8.141935484,4.412962963,67.18055556,1,0
114,MN,Mar,-10.43478261,3.891304348,62.87681159,1,0
119,CO,Sep,6.604060914,3.873857868,35.34010152,1,0
124,OK,Aug,34.41666667,3.982142857,36.39880952,1,0
125,GA,Jul,28.92278481,4.007594937,66.16883117,1,0
126,MS,May,17.91666667,4.4226190480000005,55.44444444,3,0
130,OK,Dec,-2.034069401,1.700630915,88.90733591,4,1
131,AZ,May,27.86300578,4.902312139,20.53179191,1,0
142,AZ,Jul,26.08510638,5.017021277,24.44680851,1,0
146,ND,Apr,-0.05988024,4.186144578,70.06289308,1,0
148,SC,Mar,10.03777336,2.676143141,67.94379391,1,0
157,FL,May,26.05645161,2.93959596,73.06289308,2,0
165,WA,May,12.16666667,3.145454545,52.72727273,3,0
170,AL,Apr,17.02094241,3.713612565,62.62303665,1,0
175,NY,Apr,10.19047619,2.124404762,46.70238095,1,0
187,NM,Jul,25.51436782,3.047126437,40.27011494,1,0
192,CA,Jun,15.78106509,1.11035503,58.56089744,1,0
193,GA,Dec,8.580912863,1.846058091,70.85279188,3,0
197,GA,Mar,10.53571429,3.469642857,59.16071429,1,0
199,WY,Mar,3.549494949,3.756060606,43.13131313,1,0
204,NE,Apr,9.272,5.5334,69.118,1,0
206,GA,Jun,25.23060109,2.142076503,76.35928144,1,0
217,SC,Nov,14.90191388,2.959090909,68.04032258,1,0
220,GA,Dec,7.799603175,1.818452381,67.85513078,1,0
221,PA,Apr,6.834355828,5.726993865,71.43037975,1,0
222,MS,Nov,12.27435388,2.222266402,68.21428571,2,0
227,MO,Mar,8.305555556,4.527777778,46.87698413,3,0
230,FL,Jun,28.04398148,2.301869159,71.71495327,1,0
232,FL,Jul,25.728125,1.74984326,80.19242902,4,1
237,NM,Mar,16.4,6.3875,22.725,3,0
251,MS,Feb,11.37323944,3.5300469480000003,74.15243902,3,0
261,NC,May,15.2327044,1.526205451,61.81341719,2,0
266,SD,May,8.09047619,5.335714286,64.56741573,1,0
276,MS,Feb,9.990963855,1.873493976,50.25903614,1,0
280,GA,Feb,-16.89863014,3.997260274,73.94117647,1,0
284,MS,Oct,16.13772455,2.535542169,65.90361446,3,0
286,AZ,Jun,17.09090909,5.270909091,35.43838384,2,0
290,UT,Aug,23.05882353,2.347058824,49.76470588,1,0
297,WV,Apr,12.69115044,3.714159292,29.625,1,0
313,ND,May,2.457943925,6.230841121,55.09813084,1,0
315,OK,Feb,6.852356021,4.251308901,65.08376963,4,1
318,WV,May,16.20193237,3.985436893,55.99029126,2,0
323,ND,Oct,13.71446809,5.46893617,61.06382979,1,0
324,GA,Feb,10.02983425,3.350276243,60.24309392,1,0
328,AL,Apr,17.47183099,3.118439716,68.84745763,1,0
338,NM,Jul,26.0,3.1,28.0,1,0
343,MS,Mar,9.317391304,3.425465839,66.92546584,1,0
344,NM,Nov,6.705882353,3.036898396,52.27807487,1,0
347,GA,Mar,19.90887097,0.727419355,69.63114754,1,0
357,NC,Apr,17.51143451,1.063617464,53.87982833,1,0
360,MI,Apr,2.676969697,3.819393939,71.08484848,1,0
361,GA,Aug,26.67259036,1.985240964,78.5,1,0
368,WY,Apr,5.42173913,4.075982533,49.6069869,1,0
374,AZ,May,21.53367769,2.1148760330000003,24.60743802,1,0
377,WV,Apr,7.514285714,0.451190476,62.80238095,1,0
382,NC,Apr,20.79759519,0.705410822,55.85520362,1,0
384,KY,Dec,1.777777778,4.204166667,63.35795455,1,0
385,NE,Mar,6.06468254,4.668253968,63.68452381,4,1
389,GA,Apr,10.86403162,3.141463415,64.34934498,2,0
396,ND,Apr,9.848906561,3.274051896,48.43712575,1,0
399,WI,May,12.82797619,4.18452381,51.83832335,2,0
401,NV,Jul,29.03448276,4.739285714,33.0,3,0
407,OK,Jun,28.31707317,2.139837398,70.23870968,3,0
421,OK,Nov,5.5975609760000005,1.993902439,55.96,1,0
424,TX,Jul,28.74404762,4.243055556,38.73015873,4,1
439,KY,Apr,4.8111332010000005,1.803386454,74.33755274,3,0
440,NY,Apr,6.879225352000001,3.801056338,68.08243728,1,0
441,CA,Oct,12.07871287,1.088613861,58.14285714,1,0
445,NC,Mar,12.02472325,2.699630996,59.13475177,1,0
448,GA,Feb,11.35375,4.37375,54.125,1,0
464,ND,Apr,-1.735059761,5.2156,57.604,1,0
470,CA,Jun,11.83786982,3.0112426039999995,59.31360947,1,0
479,GA,Sep,26.67021277,2.379787234,74.02150538,1,0
482,AZ,May,28.9,7.2,18.0,1,0
484,MS,Oct,19.49230769,3.523668639,68.72189349,1,0
486,SC,Jul,28.0,2.020240964,53.47710843,1,0
489,GA,Apr,11.62828283,2.028888889,82.52040816,1,0
494,OR,Aug,21.63817097,3.539960239,58.33466135,1,0
501,GA,Jun,25.83266932,2.303984064,67.91341991,1,0
504,GA,Apr,16.59722222,2.989880952,44.06352941,1,0
507,AL,Mar,10.89940828,3.1775147930000003,52.16969697,2,0
513,AL,Sep,23.77142857,3.198148148,73.60377358,1,0
524,AL,Mar,16.75151515,2.502626263,65.64537445,1,0
525,OK,Mar,4.163021869,4.177534791,65.68058968,3,0
528,KS,Apr,14.65302326,5.603271027999999,63.60747664,2,0
532,AL,Apr,21.89814815,2.222222222,50.79439252,3,0
538,MN,Mar,4.470167064,3.684725537,76.22716049,1,0
542,OK,Nov,10.45546559,2.173481781,57.35421166,1,0
545,GA,Oct,14.67857143,0.394642857,67.88599349,1,0
547,NC,Mar,2.959760956,2.915568862,56.34773663,1,0
552,TX,Aug,31.30769231,6.678106509,59.52380952,2,0
553,GA,Dec,7.716875,3.429375,57.5375,1,0
555,MS,Oct,21.08023952,1.389820359,58.68862275,1,0
