fire_index,km_class7,km_class15,km_class30
3,1,1,2
24,2,2,3
31,0,0,3
35,2,3,0
36,1,1,1
48,2,2,3
54,1,1,1
56,0,0,3
57,0,0,0
59,2,0,2
75,0,0,3
78,2,2,2
86,0,0,3
87,2,2,2
94,0,3,0
95,0,0,3
97,0,0,3
98,2,2,2
102,0,0,3
111,0,0,3
114,0,0,3
119,1,2,2
124,1,1,1
125,0,3,0
126,2,3,3
130,0,0,3
131,1,1,1
142,1,1,1
146,0,0,3
148,0,0,3
157,0,3,0
165,2,2,3
170,0,3,0
175,2,2,3
187,1,1,1
192,2,0,3
193,0,3,3
197,2,0,3
199,2,0,3
204,0,2,2
206,0,3,0
217,0,0,0
220,0,0,3
221,0,0,3
222,0,0,3
227,2,0,3
230,0,3,0
232,0,3,0
237,1,1,1
251,0,3,0
261,0,3,0
266,0,0,3
276,2,0,3
280,0,0,3
284,0,3,0
286,1,1,1
290,2,2,2
297,1,2,2
313,2,2,3
315,0,0,3
318,2,2,2
323,2,0,3
324,2,0,3
328,0,3,0
338,1,2,1
343,0,0,3
344,2,2,2
347,0,3,0
357,2,0,3
360,0,0,3
361,0,3,0
368,2,2,2
374,1,1,1
377,0,0,3
382,2,2,2
384,0,0,3
385,0,0,3
389,0,0,3
396,2,0,3
399,2,0,3
401,1,1,1
407,0,3,0
421,2,0,3
424,1,1,1
439,0,0,3
440,0,0,3
441,2,2,2
445,2,2,3
448,2,0,3
464,2,0,3
470,2,0,3
479,0,3,0
482,1,1,2
484,0,3,0
486,2,2,2
489,0,3,3
494,2,3,0
501,0,3,0
504,2,2,2
507,2,0,3
513,0,3,0
524,0,0,3
525,0,0,3
528,0,0,3
532,2,2,2
538,0,0,3
542,2,0,3
545,0,3,0
547,2,0,3
552,2,3,0
553,2,0,3
555,2,2,0
564,0,3,0
565,0,3,0
566,2,3,0
576,2,2,2
589,1,1,2
595,1,1,1
599,0,0,3
606,2,0,0
608,1,1,2
613,2,0,3
614,0,3,0
621,0,3,0
627,2,2,3
630,2,0,3
632,0,0,3
633,1,1,1
636,1,1,1
642,0,0,3
646,2,2,2
654,2,2,2
655,2,3,0
661,0,3,0
665,1,1,2
670,2,0,3
671,2,3,0
676,2,2,2
680,0,0,3
685,0,0,3
695,0,0,3
708,0,0,3
710,0,3,0
711,1,1,1
714,2,2,2
721,2,2,2
722,1,2,2
730,2,3,0
744,1,1,3
745,0,0,3
755,0,3,0
763,0,0,3
769,0,3,0
773,2,0,3
775,0,0,3
778,2,3,0
779,0,3,0
782,0,3,0
788,0,3,0
801,0,0,3
804,2,3,0
811,0,0,3
817,1,1,1
818,1,2,2
826,0,0,3
834,0,0,3
842,0,3,3
848,2,2,2
856,0,0,3
858,0,0,3
860,2,2,2
864,0,3,0
873,1,1,1
874,0,3,0
885,0,0,3
888,1,1,1
890,1,1,1
892,0,0,3
897,2,2,2
898,2,0,3
904,2,0,3
905,0,0,3
909,1,1,1
919,0,0,3
920,0,3,0
925,2,2,2
929,2,0,3
932,1,1,1
933,0,3,0
937,1,2,1
938,0,0,3
947,0,0,3
956,2,0,3
959,0,0,3
963,0,0,3
970,2,0,3
974,1,2,2
984,0,3,0
988,2,3,0
1002,0,0,3
1003,2,3,0
1010,0,3,0
1013,2,0,3
1014,2,0,3
1016,1,1,1
1018,1,1,2
1023,0,3,0
1031,0,0,3
1040,0,3,0
1041,2,2,2
1045,0,0,3
1062,0,0,3
1077,0,0,3
1079,0,0,3
1082,0,0,3
1083,1,2,1
1085,0,0,3
1086,0,0,3
1087,0,0,3
1089,2,2,0
1097,0,0,3
1099,2,2,2
1101,2,0,3
1103,0,3,0
1104,2,2,2
1105,2,0,3
1122,1,1,1
1136,0,3,0
1151,2,0,3
1152,0,0,3
1153,2,2,3
1182,1,1,1
1183,2,3,0
1199,0,2,2
1207,0,3,0
1210,2,2,2
1211,0,3,0
1212,2,2,2
1213,0,3,0
1214,2,2,2
1216,0,3,0
1224,0,3,0
1235,2,2,2
1236,0,0,3
1244,0,3,0
1245,0,3,0
1260,1,1,1
1268,0,3,0
1271,1,1,1
1276,0,3,0
1277,2,2,2
1280,0,3,0
1285,0,3,0
1291,0,3,0
1294,1,1,1
1297,0,3,0
1298,2,2,3
1301,0,0,3
1304,0,0,3
1309,2,2,2
1310,0,0,3
1311,0,0,3
1312,2,0,3
1323,2,2,2
1327,2,2,2
1328,1,2,2
1335,2,0,0
1336,2,2,2
1344,0,0,3
1348,0,3,0
1357,2,0,3
1366,0,3,0
1368,2,2,3
1369,1,1,1
1370,0,3,3
1375,1,2,2
1376,0,0,0
1386,0,0,3
1393,1,2,2
1396,0,0,3
1399,2,0,3
1407,2,3,0
1423,0,0,3
1430,1,2,1
1432,0,3,3
1436,0,3,0
1437,0,3,0
1443,2,3,0
1451,0,0,3
1454,1,2,2
1455,0,0,3
1459,0,3,0
1466,0,3,0
1474,2,2,1
1489,2,0,3
1490,2,0,3
1494,0,3,0
1496,2,0,3
1504,2,3,0
1509,0,0,3
1512,0,0,3
1518,2,2,2
1519,1,1,1
1522,0,3,0
1527,2,0,3
