fire_index,km_pca_class7,km_pca_class15,km_pca_class30
3,0,2,1
24,2,1,0
31,1,0,2
35,2,1,0
36,0,2,1
48,1,0,2
54,0,2,1
56,1,0,2
57,2,1,0
59,1,0,2
75,1,0,2
78,0,2,1
86,1,1,0
87,0,0,1
94,2,1,0
95,2,1,0
97,2,1,2
98,2,1,0
102,1,0,2
111,1,0,2
114,1,0,2
119,1,0,2
124,0,2,1
125,0,1,0
126,1,0,2
130,1,0,2
131,0,2,1
142,0,2,1
146,1,0,2
148,1,0,2
157,2,1,0
165,1,1,0
170,1,1,2
175,2,1,2
187,0,2,1
192,2,1,0
193,2,1,0
197,1,0,2
199,1,0,2
204,1,0,2
206,2,1,0
217,2,1,0
220,2,1,0
221,1,0,2
222,2,0,0
227,1,0,2
230,2,1,0
232,2,1,0
237,0,2,1
251,1,0,2
261,2,1,0
266,1,0,2
276,2,1,0
280,1,0,2
284,2,1,0
286,0,2,1
290,2,1,1
297,0,0,2
313,1,0,2
315,1,0,2
318,1,0,2
323,1,0,2
324,1,0,2
328,2,0,0
338,0,2,1
343,1,0,2
344,1,0,2
347,2,1,0
357,2,1,0
360,1,0,2
361,2,1,0
368,1,0,2
374,0,2,1
377,2,1,0
382,2,1,0
384,1,0,2
385,1,0,2
389,1,1,0
396,1,0,2
399,1,0,2
401,0,2,1
407,2,1,0
421,2,0,0
424,0,2,1
439,2,0,0
440,1,0,2
441,2,1,0
445,2,1,2
448,1,0,2
464,1,0,2
470,1,0,2
479,2,1,0
482,0,2,1
484,2,1,0
486,2,1,0
489,2,1,0
494,2,1,0
501,2,1,0
504,0,1,0
507,1,0,2
513,2,1,0
524,2,1,0
525,1,0,2
528,1,0,2
532,2,1,0
538,1,0,2
542,2,1,0
545,2,1,0
547,1,0,2
552,0,2,1
553,1,0,0
555,2,1,0
564,2,1,0
565,2,1,0
566,1,1,0
576,0,2,2
589,0,2,1
595,0,2,1
599,1,0,2
606,2,1,0
608,0,2,0
613,1,0,2
614,2,0,0
621,2,1,0
627,2,0,2
630,1,0,2
632,2,1,0
633,0,2,1
636,0,2,1
642,1,1,0
646,2,1,0
654,1,0,2
655,2,1,0
