state,fire_size,Temp_pre_30,Temp_pre_15,Temp_pre_7,Wind_pre_30,Wind_pre_15,Wind_pre_7,Hum_pre_30,Hum_pre_15,Hum_pre_7,putout_time
AK,21643714.79,8080.052382215,8836.855306149,9973.052018979,1462.134275652,1426.731083922,1364.861206581,35449.11954353,35436.245634,33667.79070355,33368
AL,14559.75,5708.57237871,5864.033913654,5934.028964895,1104.459922561,1106.137442355,1121.44793841,26203.86940335,25971.32215826,25635.15479233,106
AR,25213.3,4855.221767694,4974.885662099,5153.857705693,593.128092845,594.895197822,600.914000526,17556.76605372,17308.15052269,16991.40361754,121
AZ,2621582.48,13737.782035479,14237.416584784,14582.808361753,2128.142935659,2082.934623512,2045.21869378,18401.545873189,18309.019283302,18346.634173518,4565
CA,5418858.84,15026.397018939,15288.703503466,15581.357330631,2185.002928886,2170.74104261,2115.083846114,38467.83632309,37814.26485754,37216.93495274,7499
CO,627762.0,3053.089991236,3168.416028015,3251.915991221,624.906441463,614.490142269,610.57032564,7133.36055625,7177.57414719,7015.14458778,1977
FL,798738.69,8226.158682759,8380.312547809,8479.654497197,1124.756701225,1116.151792952,1090.882468978,27280.31944268,27127.74131524,26983.21655873,946
GA,498401.0,22161.222948571,22590.242627703,22895.030800853,3575.793730399,3563.715912473,3566.99089252,92200.27423735,91071.55768174,89540.16494893,593
IA,33.2,20.780278779,26.616062149999998,31.351924601,15.88785918,17.197223065,16.702038025,211.05568471,221.03827113,220.75709498,0
ID,8187163.97,14470.801631769,14758.535152628,14889.217014455,2071.908204602,2027.312607079,1999.327097305,32156.06876439,31449.58589287,31091.88890715,13247
IL,449.65,292.806884894,311.881372881,323.649151429,83.610286802,83.311462819,85.065062832,1692.77154327,1700.25458568,1675.71673812,12
IN,246.89999999999998,98.575784234,105.448863614,116.301225309,47.917203052,47.056183569,48.930011300000004,787.91606108,782.2319529700001,779.66678667,1
KS,72849.1,623.33737954,736.480317565,846.271151361,349.509281267,345.98908789,340.031173595,5189.09610387,5164.22729668,5092.38132382,18
KY,13343.75,3058.62445208,3188.901570677,3313.447750622,688.584431431,684.04764167,685.152957333,19908.03516176,19481.00830846,18653.55166617,150
LA,29248.03,393.892156989,398.789386847,407.37281666,60.664212857,61.196210004,59.988042689,1617.00900411,1581.2223666099999,1573.1764905,48
MA,7.5,55.415655556000004,63.792118785,68.689356815,15.608345208000001,15.29030225,14.062090712,337.8763364,330.86799365,344.91892902,1
MD,6834.4,100.40321594,100.604272171,109.209000308,31.941435467,30.925202839,33.108229506,822.9291435599999,819.2412328300001,794.14105594,7
ME,965.1999999999999,286.037376314,342.01645622,371.37294414,142.412960279,145.629578579,141.919128585,2588.7807529,2529.3491407,2481.53009639,2
MI,70640.35,603.641430658,676.647047389,712.027532164,251.527442613,250.000542062,247.274512819,4693.13787074,4623.76128966,4571.61856927,103
