state,discovery_month,fire_cause,Temp_pre_30,Wind_pre_30,Hum_pre_30,putout_time,fire_size_bin,fire_size_bin_no
NV,Jun,Debris Burning,16.27596717,4.054982415,44.77842907,0,Teacup,1
MS,Apr,Arson,13.46861925,2.038268156,57.99720670000001,0,Mini,3
ND,Apr,Debris Burning,-0.8916349809999999,5.800666667000001,77.57501206,0,Teacup,1
GA,Oct,Debris Burning,20.07947977,3.65984,67.55178268,0,Mini,3
NM,Jul,Lightning,31.05585937,4.026367187,28.78320313,1,Large,5
WV,Apr,Debris Burning,8.9048,4.18489426,56.23867069,0,Medium,4
WY,Jul,Utilities,22.72938005,3.148513514,37.25675676,0,Teacup,1
OK,Dec,Utilities,8.523263157999999,3.278095238,76.61521739,1,Mini,3
TN,Oct,Arson,14.40471888,1.976602238,73.77567887,1,Medium,4
VA,Apr,Arson,8.864242424,3.135151515,52.83489097,2,Medium,4
WI,Apr,Utilities,3.713043478,5.752173912999999,66.91111111,0,Teacup,1
CA,Jul,Utilities,27.85048276,2.58,44.7062069,1,Medium,4
GA,Mar,Debris Burning,10.97154851,2.438199627,70.45740836,0,Mini,3
AZ,Jul,Accidental,21.73636364,4.227272727,49.36363636,9,Teacup,1
AR,Oct,Debris Burning,17.81246973,1.297578692,66.64366374,0,Teacup,1
GA,Jan,Debris Burning,8.147935035,1.737633411,60.78588808,0,Teacup,1
GA,Feb,Debris Burning,9.430668127,2.727601314,68.88056206,0,Toy,2
ID,Aug,Accidental,21.5948324,0.564106145,58.11033520000001,0,Mini,3
GA,Apr,Utilities,12.84916667,3.94,66.63687151,0,Mini,3
GA,Mar,Arson,9.76573499,3.2640625,66.86682243,0,Teacup,1
MN,Mar,Utilities,-2.428571429,3.833282675,74.28658537,0,Teacup,1
CO,Sep,Accidental,8.664914586,4.722141918999999,40.75965379,3,Teacup,1
OK,Aug,Arson,33.97345013,3.947843666,37.33962264,0,Teacup,1
GA,Jul,Arson,28.18606061,3.3301538460000004,65.93290735,0,Teacup,1
MS,May,Arson,15.41722222,4.2986111110000005,59.85915493,0,Mini,3
OK,Dec,Arson,0.269237833,2.04214876,77.41107185,0,Medium,4
AZ,May,Arson,24.38005502,4.2039889960000005,16.61019284,0,Teacup,1
AZ,Jul,Lightning,26.63636364,4.91010101,19.66161616,0,Teacup,1
ND,Apr,Debris Burning,-1.333333333,3.925558659,76.08645533,0,Teacup,1
