,fire_name,fire_size,fire_cause,latitude,longitude,state,discovery_month,year,putout_time,Vegetation,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont,remoteness
3,WNA  1,1.0,Debris Burning,39.6414,-119.3083,NV,Jun,2005,0,0,16.27596717,18.99618138,18.1425641,0.0,4.054982415,3.398329356,3.671282051,0.0,44.77842907,37.14081146,35.35384615,0.0,10.4,7.2,0.0,0.0,0.4874474548506364
9,CRAZY,1.0,Other,48.8394,-99.7185,ND,Apr,2004,0,15,4.600950119,6.861878452999999,6.053333332999999,0.0,6.380760095,6.334254144,6.645333333,0.0,64.60650888,55.94303797,54.33783784,0.0,12.3,1.8,0.0,0.0,0.2916826266795891
26,STO3573155,2.0,Debris Burning,35.7189,-92.335,AR,Jan,2014,0,15,3.490697674,0.0,0.0,0.0,1.34744186,0.0,0.0,0.0,76.09139785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2272697343448786
31,AXE RONDEAU,1.2,Debris Burning,48.833,-99.7836,ND,Apr,2007,0,15,-0.8916349809999999,0.372659176,-4.273833671,0.0,5.800666667000001,6.012851782,6.65862069,0.0,77.57501206,75.96398104,71.17311609,0.0,21.2,21.2,9.2,0.0,0.2923027163909939
35,FY2001-EARLY-021,30.18,Debris Burning,31.259,-84.8956,GA,Oct,2000,0,12,20.07947977,17.72271386,18.18867925,0.0,3.65984,3.366442953,2.211428571,0.0,67.55178268,61.7337884,60.32857143,0.0,0.0,0.0,0.0,0.0,0.1624159398172477
36,LUCKY,1420.0,Lightning,33.2418,-104.9122,NM,Jul,1994,1,16,31.05585937,32.5234375,34.89333333,36.24117647,4.026367187,3.844921875,3.695833333,4.217647059,28.78320313,25.7890625,18.20833333,17.05882353,2.5,0.0,0.0,0.0,0.3479907070469388
48,LAUREL BRANCH,55.0,Debris Burning,37.46458863,-81.49122444,WV,Apr,2014,0,0,8.9048,12.492723,11.73579545,0.0,4.18489426,3.882897862,2.940116279,0.0,56.23867069,49.52731591,40.64534884,0.0,54.5,11.7,4.3,0.0,0.127991882782634
54,AGERT,3.2,Utilities,43.85158,-108.19147,WY,Jul,2010,0,9,22.72938005,23.7672043,24.40402299,0.0,3.148513514,2.737837838,2.821511628,0.0,37.25675676,37.38648649,37.62209302,0.0,3.1,2.8,2.8,0.0,0.3746517113312526
56,LED BETTER BARN,15.3,Utilities,36.5865,-96.32322,OK,Dec,2015,1,0,8.523263157999999,5.933657587999999,2.911842105,5.258333333,3.278095238,3.311328125,2.128193833,3.558333333,76.61521739,80.17729084,85.36936937,71.5,150.8,104.8,17.0,0.0,0.2639427624719013
57,CALDERWOOD,270.0,Arson,35.47333333,-84.45,TN,Oct,1999,1,15,14.40471888,11.63909465,10.72222222,16.43103448,1.976602238,1.750730689,0.799509804,0.982758621,73.77567887,70.18932039,68.28723404,67.05,145.8,14.4,0.0,0.0,0.1555431553430117
59,DEVIL'S,57.0,Arson,36.81666667,-82.65166667,VA,Apr,1995,2,0,8.864242424,8.231321839,6.332934132,13.00208333,3.135151515,3.3071839080000003,3.089221557,1.95,52.83489097,53.92330383,53.1257485,37.85416667,0.0,0.0,0.0,0.0,0.1386698681295559
64,SPRING GULCH,1.5,Lightning,39.205,-105.18833329999998,CO,Jul,1996,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347202748581888
78,RAMP,450.0,Utilities,34.33,-117.5130556,CA,Jul,2006,1,16,27.85048276,28.16509695,28.49940476,33.9,2.58,2.664542936,2.769642857,2.2375,44.7062069,42.9833795,49.0,39.375,0.0,0.0,0.0,0.0,0.47215020307743
83,TELEPHONE CANYON,18.0,Other,41.51085,-109.50637,WY,Jun,2012,3,15,13.19906542,14.16378378,17.85178571,14.97260274,5.271161549,6.388648648999999,4.9226190480000005,7.779452055,33.59279039,35.34864865,29.61904762,28.0,1.8,0.0,0.0,0.0,0.3884084306904412
84,LIL CARIBO,108.0,Lightning,63.8517,-150.3543,AK,Jul,1997,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8197266531954936
86,FY2014-TOOMBS-030,13.65,Debris Burning,32.28853889,-82.40083333,GA,Mar,2014,0,12,10.97154851,10.70697674,8.807539683,0.0,2.438199627,2.365860465,3.027380952,0.0,70.45740836,71.45977011,76.53301887,0.0,0.0,0.0,0.0,0.0,0.1393298173350989
