state,discovery_month,fire_cause,Temp_pre_7,Wind_pre_7,Hum_pre_7,putout_time,fire_size_bin,fire_size_bin_no
NV,Jun,Debris Burning,18.1425641,3.671282051,35.35384615,0,Teacup,1
MS,Apr,Arson,15.60479042,1.775903614,59.61445783,0,Mini,3
ND,Apr,Debris Burning,-4.273833671,6.65862069,71.17311609,0,Teacup,1
GA,Oct,Debris Burning,18.18867925,2.211428571,60.32857143,0,Mini,3
NM,Jul,Lightning,34.89333333,3.695833333,18.20833333,1,Large,5
WV,Apr,Debris Burning,11.73579545,2.940116279,40.64534884,0,Medium,4
WY,Jul,Utilities,24.40402299,2.821511628,37.62209302,0,Teacup,1
OK,Dec,Utilities,2.911842105,2.128193833,85.36936937,1,Mini,3
TN,Oct,Arson,10.72222222,0.799509804,68.28723404,1,Medium,4
VA,Apr,Arson,6.332934132,3.089221557,53.1257485,2,Medium,4
WI,Apr,Utilities,1.84,9.32,78.2,0,Teacup,1
CA,Jul,Utilities,28.49940476,2.769642857,49.0,1,Medium,4
GA,Mar,Debris Burning,8.807539683,3.027380952,76.53301887,0,Mini,3
AZ,Jul,Accidental,19.63333333,3.566666667,43.66666667,9,Teacup,1
AR,Oct,Debris Burning,14.73988764,1.988202247,64.69662921,0,Teacup,1
GA,Jan,Debris Burning,8.01547619,2.370833333,62.28686327,0,Teacup,1
GA,Feb,Debris Burning,16.46974359,2.281538462,66.01025641,0,Toy,2
ID,Aug,Accidental,20.58231707,0.513414634,59.5,0,Mini,3
GA,Apr,Utilities,14.57678571,4.010119048,69.81927711,0,Mini,3
GA,Mar,Arson,8.141935484,4.412962963,67.18055556,0,Teacup,1
MN,Mar,Utilities,-10.43478261,3.891304348,62.87681159,0,Teacup,1
CO,Sep,Accidental,6.604060914,3.873857868,35.34010152,3,Teacup,1
OK,Aug,Arson,34.41666667,3.982142857,36.39880952,0,Teacup,1
GA,Jul,Arson,28.92278481,4.007594937,66.16883117,0,Teacup,1
MS,May,Arson,17.91666667,4.4226190480000005,55.44444444,0,Mini,3
OK,Dec,Arson,-2.034069401,1.700630915,88.90733591,0,Medium,4
AZ,May,Arson,27.86300578,4.902312139,20.53179191,0,Teacup,1
AZ,Jul,Lightning,26.08510638,5.017021277,24.44680851,0,Teacup,1
ND,Apr,Debris Burning,-0.05988024,4.186144578,70.06289308,0,Teacup,1
SC,Mar,Debris Burning,10.03777336,2.676143141,67.94379391,0,Teacup,1
FL,May,Accidental,26.05645161,2.93959596,73.06289308,0,Toy,2
WA,May,Accidental,12.16666667,3.145454545,52.72727273,0,Mini,3
AL,Apr,Arson,17.02094241,3.713612565,62.62303665,0,Teacup,1
NY,Apr,Utilities,10.19047619,2.124404762,46.70238095,0,Teacup,1
NM,Jul,Lightning,25.51436782,3.047126437,40.27011494,3,Teacup,1
CA,Jun,Lightning,15.78106509,1.11035503,58.56089744,1,Teacup,1
GA,Dec,Arson,8.580912863,1.846058091,70.85279188,0,Mini,3
GA,Mar,Accidental,10.53571429,3.469642857,59.16071429,0,Teacup,1
WY,Mar,Debris Burning,3.549494949,3.756060606,43.13131313,0,Teacup,1
NE,Apr,Utilities,9.272,5.5334,69.118,0,Teacup,1
GA,Jun,Debris Burning,25.23060109,2.142076503,76.35928144,0,Teacup,1
SC,Nov,Arson,14.90191388,2.959090909,68.04032258,0,Teacup,1
GA,Dec,Debris Burning,7.799603175,1.818452381,67.85513078,0,Teacup,1
PA,Apr,Arson,6.834355828,5.726993865,71.43037975,0,Teacup,1
MS,Nov,Accidental,12.27435388,2.222266402,68.21428571,0,Toy,2
MO,Mar,Arson,8.305555556,4.527777778,46.87698413,0,Mini,3
FL,Jun,Arson,28.04398148,2.301869159,71.71495327,0,Teacup,1
FL,Jul,Lightning,25.728125,1.74984326,80.19242902,0,Medium,4
NM,Mar,Utilities,16.4,6.3875,22.725,0,Mini,3
MS,Feb,Arson,11.37323944,3.5300469480000003,74.15243902,0,Mini,3
NC,May,Arson,15.2327044,1.526205451,61.81341719,1,Toy,2
SD,May,Accidental,8.09047619,5.335714286,64.56741573,0,Teacup,1
MS,Feb,Arson,9.990963855,1.873493976,50.25903614,0,Teacup,1
GA,Feb,Debris Burning,-16.89863014,3.997260274,73.94117647,0,Teacup,1
MS,Oct,Debris Burning,16.13772455,2.535542169,65.90361446,0,Mini,3
AZ,Jun,Lightning,17.09090909,5.270909091,35.43838384,3,Toy,2
UT,Aug,Lightning,23.05882353,2.347058824,49.76470588,0,Teacup,1
WV,Apr,Lightning,12.69115044,3.714159292,29.625,0,Teacup,1
ND,May,Utilities,2.457943925,6.230841121,55.09813084,0,Teacup,1
OK,Feb,Arson,6.852356021,4.251308901,65.08376963,0,Medium,4
WV,May,Accidental,16.20193237,3.985436893,55.99029126,0,Toy,2
ND,Oct,Arson,13.71446809,5.46893617,61.06382979,0,Teacup,1
GA,Feb,Debris Burning,10.02983425,3.350276243,60.24309392,0,Teacup,1
AL,Apr,Arson,17.47183099,3.118439716,68.84745763,0,Teacup,1
NM,Jul,Lightning,26.0,3.1,28.0,1,Teacup,1
MS,Mar,Debris Burning,9.317391304,3.425465839,66.92546584,0,Teacup,1
NM,Nov,Lightning,6.705882353,3.036898396,52.27807487,0,Teacup,1
GA,Mar,Arson,19.90887097,0.727419355,69.63114754,0,Teacup,1
NC,Apr,Debris Burning,17.51143451,1.063617464,53.87982833,0,Teacup,1
MI,Apr,Accidental,2.676969697,3.819393939,71.08484848,1,Teacup,1
